Date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1963-07,-0.5,-0.49,-0.9,0.27,-1.33,-0.79,-0.14,-0.48,-0.5,-0.82,-0.98,0.31,0.23,-1.43,-1.25
1963-08,5.51,5.18,5.45,4.26,3.15,4.71,6.48,4.06,6.11,4.9,5.98,3.39,5.04,3.69,2.72
1963-09,-1.44,-0.95,-1.12,-2.57,-1.37,-1.1,-1.84,-1.18,-0.77,-1.09,-1.15,-2.76,-2.39,-1.11,-1.59
1963-10,1.84,1.7,1.94,1.25,1.59,1.65,2.06,1.11,2.19,2.33,1.57,1.51,1.03,1.53,1.65
1963-11,-1.13,-0.9,-1.23,-0.92,-2.09,-1.61,-0.56,-0.34,-1.36,-0.55,-1.89,-1.8,-0.15,-1.38,-2.67
1963-12,-1.02,1.24,1.55,0.41,-1.21,-1.5,-0.43,0.64,1.74,1.74,1.36,0.87,-0.01,-0.99,-1.39
1964-01,4.11,3.79,2.68,2.45,3.72,4.28,3.91,3.7,3.86,2.44,2.91,2.31,2.57,4.46,3.12
1964-02,2.33,2.7,2.25,2.82,2.19,1.36,3.51,2.49,2.87,3.02,1.51,1.52,3.97,2.12,2.25
1964-03,5.29,3.77,2.94,3.35,1.18,5.89,4.56,4.02,3.55,3.21,2.68,4.2,2.6,2.69,-0.05
1964-04,-0.17,0.0,1.25,-0.65,-0.41,-0.85,0.67,0.38,-0.32,1.02,1.48,0.01,-1.24,0.72,-1.32
1964-05,1.42,1.09,1.53,0.48,-0.14,1.55,1.25,1.83,0.47,2.52,0.57,0.13,0.78,0.84,-0.93
1964-06,2.52,1.21,1.74,0.94,0.86,3.96,0.77,1.07,1.33,2.13,1.36,0.38,1.43,0.89,0.84
1964-07,3.09,2.44,1.9,3.25,3.3,2.17,4.21,2.83,2.08,2.49,1.36,3.38,3.15,2.82,3.6
1964-08,-0.47,-0.32,-0.22,-1.22,-0.99,-0.66,-0.24,-0.29,-0.35,0.19,-0.59,-1.15,-1.28,-1.81,-0.47
1964-09,3.82,3.78,3.23,3.68,4.26,3.77,3.89,4.24,3.36,3.99,2.54,3.45,3.86,3.45,4.77
1964-10,2.79,2.23,1.76,2.39,2.22,2.25,3.43,1.47,2.94,1.57,1.94,2.77,2.09,2.05,2.32
1964-11,-0.14,-0.25,-0.05,0.43,-0.29,-1.1,1.02,-0.74,0.2,-0.44,0.31,-0.12,0.88,-0.8,0.04
1964-12,-1.41,-1.36,-0.44,-1.2,-0.05,-1.53,-1.26,-1.06,-1.63,0.48,-1.28,-1.38,-1.05,-0.17,0.02
1965-01,7.55,6.19,6.01,6.79,8.25,8.51,6.38,5.93,6.43,5.22,6.73,6.51,7.01,7.91,8.47
1965-02,4.27,3.97,3.3,3.18,3.31,3.85,4.78,3.52,4.37,2.02,4.46,2.49,3.75,3.72,3.04
1965-03,1.58,0.28,0.69,0.3,1.07,1.76,1.37,0.42,0.15,0.56,0.82,-1.22,1.55,1.65,0.7
1965-04,5.0,3.91,3.57,3.62,5.05,5.23,4.72,4.12,3.71,3.68,3.46,3.37,3.82,5.73,4.63
1965-05,-0.49,0.47,-0.27,-0.62,0.86,-0.3,-0.72,-0.52,1.38,-0.85,0.27,-1.44,0.05,-0.03,1.42
1965-06,-9.71,-7.61,-7.48,-7.81,-9.16,-10.37,-8.92,-7.08,-8.1,-6.81,-8.09,-7.61,-7.98,-8.83,-9.36
1965-07,2.49,3.83,2.66,2.76,3.01,2.43,2.58,4.26,3.46,0.92,3.94,2.32,3.2,3.13,2.93
1965-08,4.74,3.78,4.33,4.42,4.86,4.73,4.75,4.88,2.81,3.86,4.68,3.5,5.33,4.34,5.25
1965-09,3.46,2.55,3.45,4.96,3.67,3.6,3.25,2.34,2.75,4.15,2.94,3.23,6.65,3.11,4.08
1965-10,7.61,5.73,4.18,5.66,6.46,9.05,5.43,6.53,5.03,4.76,3.76,6.48,4.85,5.92,6.87
1965-11,6.64,3.34,3.26,5.0,6.43,7.7,5.03,1.95,4.58,1.84,4.32,3.98,6.0,5.17,7.38
1965-12,6.26,3.47,2.8,4.26,5.2,7.01,5.1,3.54,3.41,3.58,2.22,5.36,3.18,5.91,4.68
1966-01,6.72,4.02,4.0,6.11,7.17,7.17,6.03,3.9,4.12,3.3,4.52,7.5,4.76,6.81,7.43
1966-02,5.3,0.95,1.1,3.54,4.4,6.72,3.13,2.17,-0.14,0.77,1.33,2.09,4.96,3.15,5.34
1966-03,-0.36,-1.89,-2.79,-2.35,-0.44,0.53,-1.73,-1.66,-2.09,-1.77,-3.55,-1.72,-2.96,0.01,-0.78
1966-04,7.07,2.96,3.72,4.45,5.16,7.72,6.09,3.14,2.79,3.61,3.79,2.97,5.91,4.37,5.75
1966-05,-10.05,-7.5,-6.54,-8.11,-10.08,-11.24,-8.24,-7.94,-7.11,-7.11,-6.12,-6.94,-9.25,-9.97,-10.16
1966-06,1.05,-0.59,-0.54,-0.19,-0.53,0.98,1.15,-0.22,-0.91,-0.46,-0.6,0.68,-1.05,-0.45,-0.59
1966-07,-1.4,-1.5,-1.61,-1.68,-1.43,-2.16,-0.41,-1.63,-1.37,-1.78,-1.46,-1.94,-1.41,-2.06,-0.92
1966-08,-10.87,-9.4,-8.45,-9.85,-10.27,-11.68,-9.81,-9.38,-9.42,-9.07,-7.93,-9.19,-10.51,-9.64,-10.77
1966-09,-2.81,-1.4,-2.04,-2.29,-2.32,-2.94,-2.64,-1.08,-1.73,-1.35,-2.61,-2.39,-2.18,-2.05,-2.55
1966-10,-2.49,0.34,-0.15,-0.56,-2.3,-4.41,-0.01,0.75,-0.06,0.11,-0.36,-0.22,-0.91,-1.91,-2.6
1966-11,5.69,3.72,4.0,3.82,5.06,6.24,4.97,2.86,4.58,3.45,4.45,4.55,3.09,4.65,5.39
1966-12,1.47,1.45,1.58,3.27,1.23,1.96,0.84,1.73,1.18,1.48,1.66,2.75,3.79,0.53,1.8
1967-01,19.13,14.83,14.88,15.93,20.06,21.06,16.64,15.3,14.35,13.17,16.32,15.12,16.75,19.38,20.62
1967-02,5.0,2.34,2.38,3.86,5.02,6.18,3.47,2.58,2.09,2.46,2.31,3.44,4.29,3.47,6.26
1967-03,5.15,5.27,5.91,6.62,7.15,6.47,3.44,5.22,5.31,4.65,6.96,5.38,7.87,8.75,5.86
