Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1951-07,2.86,6.46,6.91,7.61,7.29,6.06,6.84,7.36,7.38,6.46,8.16,4.82,7.34,7.5,6.19,6.64,8.06,8.25,6.53
1951-08,13.61,4.57,4.97,5.33,3.74,5.23,5.51,5.13,5.17,3.5,4.0,6.21,4.22,4.91,6.12,4.62,5.63,5.56,4.8
1951-09,-2.42,1.09,1.79,2.39,1.37,0.79,2.22,0.97,3.45,0.02,2.76,0.55,1.03,3.68,0.76,1.66,0.3,4.47,2.45
1951-10,-3.31,-2.75,-2.07,-2.9,-3.1,-2.47,-1.39,-2.49,-3.19,-2.75,-3.47,-2.06,-2.89,-2.0,-0.78,-2.63,-2.34,-3.91,-2.49
1951-11,8.88,0.66,1.37,1.58,0.18,1.6,1.12,1.55,1.65,0.06,0.31,1.59,1.6,1.33,0.92,1.67,1.44,1.18,2.1
1951-12,0.03,2.55,2.54,2.01,2.62,2.48,2.33,2.39,2.09,3.1,2.12,2.42,2.55,1.77,2.89,2.95,1.85,1.63,2.54
1952-01,-0.25,1.63,1.1,1.9,2.22,1.13,0.78,1.54,1.84,0.95,3.54,0.47,1.81,1.05,0.52,1.03,2.03,1.39,2.27
1952-02,-2.7,-3.3,-2.4,-2.25,-3.36,-2.85,-2.84,-1.87,-2.21,-2.29,-4.47,-3.19,-2.51,-2.68,-2.99,-1.4,-2.34,-1.51,-2.89
1952-03,-2.28,1.57,2.92,4.29,1.44,2.32,2.09,3.79,5.0,1.17,1.72,1.83,2.82,2.14,2.04,4.71,2.91,6.06,3.97
1952-04,-4.89,-4.27,-5.41,-5.84,-4.31,-4.54,-5.32,-5.27,-6.53,-3.15,-5.5,-4.21,-4.88,-4.65,-5.99,-6.1,-4.47,-6.97,-6.11
1952-05,-0.49,1.98,3.21,2.28,1.9,2.27,4.05,2.36,2.2,1.64,2.17,2.14,2.41,3.91,4.19,2.28,2.43,2.6,1.81
1952-06,2.88,3.08,3.41,4.39,2.71,3.74,3.27,3.45,4.84,2.35,3.09,3.79,3.68,1.89,4.65,3.41,3.49,4.95,4.74
1952-07,0.9,0.73,1.63,1.03,0.18,1.68,1.64,1.45,0.96,-0.29,0.64,1.83,1.53,1.24,2.05,1.72,1.17,0.65,1.27
1952-08,-0.89,-0.1,0.62,-0.42,-0.37,0.43,1.05,-0.01,-0.64,-0.82,0.08,0.43,0.43,1.64,0.46,-0.04,0.03,-0.19,-1.09
1952-09,5.5,-1.67,-0.94,-1.86,-2.42,-0.74,-0.52,-1.63,-1.84,-3.51,-1.35,-0.16,-1.31,-0.84,-0.21,-1.38,-1.89,-1.44,-2.24
1952-10,-1.74,-0.96,-1.28,-1.16,-0.99,-1.26,-1.52,-1.12,-0.86,-1.57,-0.42,-0.92,-1.59,-0.81,-2.23,-0.48,-1.79,-1.34,-0.37
1952-11,9.73,6.06,5.78,6.48,6.27,5.43,5.8,5.8,7.05,6.92,5.64,5.65,5.22,5.09,6.52,6.29,5.3,5.85,8.25
1952-12,3.28,2.38,2.31,2.03,2.43,2.14,2.69,1.84,2.15,2.64,2.23,2.28,1.99,2.88,2.49,1.88,1.8,1.96,2.34
1953-01,0.0,0.84,1.39,2.92,0.41,1.45,1.13,1.69,3.72,-0.77,1.57,1.7,1.21,0.48,1.77,2.1,1.28,3.27,4.17
1953-02,1.59,0.89,0.72,1.11,1.4,0.22,0.8,0.48,1.52,1.72,1.09,-0.16,0.6,0.59,1.01,0.7,0.26,1.6,1.43
1953-03,-2.38,-0.9,-0.84,-0.75,-0.26,-1.53,-0.59,-0.66,-1.11,-1.47,0.92,-2.18,-0.89,-0.58,-0.61,-1.29,-0.03,-1.75,-0.46
