Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1951-07,3.01,5.55,8.01,9.13,6.53,5.69,9.32,7.07,8.69,5.85,8.02,3.69,8.32,8.34,9.74,6.41,9.95,8.8,8.54
1951-08,14.65,3.48,6.09,7.02,3.14,5.14,6.6,5.53,7.39,2.84,3.79,4.16,6.37,4.99,7.29,5.34,6.32,7.72,6.94
1951-09,-2.9,-0.19,0.52,-0.05,-0.42,0.3,-0.78,1.22,1.24,-2.17,3.33,0.26,0.34,3.8,-2.72,2.09,-2.45,1.5,0.88
1951-10,-3.62,-4.47,-1.36,-1.55,-5.53,-3.2,1.0,-1.51,-2.96,-5.91,-4.77,-2.41,-4.19,-2.91,2.76,-2.12,1.17,-3.68,-1.96
1951-11,8.33,0.31,0.89,0.06,0.22,0.54,0.79,0.9,0.24,-0.64,1.94,0.48,0.63,1.28,0.58,1.18,-0.28,0.0,0.56
1951-12,-0.4,4.36,4.24,2.59,5.41,2.94,4.89,3.59,2.75,6.88,2.54,2.41,3.62,1.94,6.17,3.89,2.28,2.93,2.51
1952-01,0.1,-0.61,2.25,3.84,-0.83,0.83,3.39,2.34,1.63,-2.61,2.82,-0.2,2.11,1.73,4.07,1.05,8.0,0.63,2.98
1952-02,-3.22,-2.85,-2.95,-4.46,-3.15,-2.83,-4.33,-1.81,-4.13,-2.31,-4.78,-2.28,-3.5,-3.11,-4.83,-1.02,-5.05,-3.97,-4.33
1952-03,-2.24,1.78,6.92,6.41,1.99,3.68,4.93,9.11,5.6,2.51,0.96,1.4,6.49,2.39,5.98,9.4,7.85,6.22,4.79
1952-04,-4.95,-4.26,-5.91,-7.31,-5.34,-3.67,-5.62,-6.69,-7.26,-5.53,-4.94,-2.2,-5.39,-4.78,-5.96,-6.52,-7.39,-7.09,-7.49
1952-05,-0.28,3.23,3.75,3.34,4.01,2.84,3.42,4.02,2.63,4.69,2.63,1.79,4.11,3.16,3.53,3.9,4.57,3.0,2.13
1952-06,3.2,3.26,5.47,4.95,3.37,4.05,5.43,4.97,6.66,3.74,2.59,3.05,5.24,2.79,6.5,5.65,2.01,6.72,6.59
1952-07,0.9,1.37,1.07,0.07,1.16,1.73,0.61,0.3,1.42,1.11,1.25,1.7,1.88,0.22,1.39,1.5,-1.25,-0.02,2.38
1952-08,-0.89,-0.04,-0.93,-1.73,-0.89,1.05,-0.42,-2.22,-1.51,-1.27,-0.29,1.28,0.12,-0.61,-0.06,-2.43,-1.94,-0.13,-2.42
1952-09,5.5,-1.19,-2.13,-3.73,-1.76,-0.43,-1.88,-3.82,-2.96,-2.31,-0.91,-0.32,-0.86,-2.29,-1.08,-3.31,-4.5,-2.83,-3.06
1952-10,-1.74,-0.35,-0.54,0.42,-0.94,-0.1,-0.11,0.19,0.18,-1.19,-0.54,0.54,-2.68,0.34,-0.99,-0.17,0.67,-0.65,0.74
1952-11,9.73,7.49,4.74,5.2,8.52,5.99,4.14,4.09,7.62,9.43,7.14,5.95,6.16,3.14,6.14,5.11,2.75,6.55,8.33
1952-12,3.28,2.62,3.44,3.4,1.99,3.31,3.67,3.59,3.29,1.53,2.71,3.57,2.25,3.82,3.4,3.66,3.51,2.13,4.05
1953-01,0.0,-0.06,-1.23,-0.42,-0.18,0.19,-1.02,-2.33,1.05,0.2,-0.77,0.11,0.5,-1.6,0.1,-2.59,-1.98,0.6,1.34
1953-02,1.59,-0.41,-0.1,0.2,-0.41,-0.31,-0.42,0.51,-0.23,-1.1,0.65,-0.41,0.11,-0.85,0.39,0.4,0.67,0.22,-0.51
1953-03,-2.38,-1.25,-1.15,-1.83,-0.28,-2.16,-1.09,-1.67,-2.38,-0.36,-0.15,-2.7,0.11,-1.75,0.16,-1.99,-1.23,-2.18,-2.51
1953-04,-4.07,-1.81,-4.0,-2.22,-2.06,-1.65,-4.22,-4.04,-0.94,-2.51,-1.37,-1.44,-2.53,-4.55,-3.62,-4.39,-3.58,-2.2,-0.13
1953-05,0.0,0.56,1.06,0.71,0.76,0.18,1.42,1.17,0.19,0.74,0.79,0.26,-0.18,2.33,-0.24,1.08,1.28,1.06,-0.36
1953-06,-4.31,-1.66,-1.34,-1.13,-1.49,-1.95,-1.02,-0.83,-2.24,-1.7,-1.18,-1.9,-2.13,-0.64,-1.72,-1.5,0.07,-2.67,-1.96
1953-07,3.56,2.35,3.06,3.37,2.93,1.72,3.45,2.9,3.84,2.96,2.84,1.63,2.05,2.73,3.79,3.12,2.65,5.21,2.18
1953-08,-10.08,-3.02,-3.86,-7.09,-2.8,-3.07,-4.47,-5.25,-7.38,-2.87,-2.58,-3.31,-2.25,-3.01,-5.13,-3.98,-6.65,-6.89,-7.98
1953-09,-5.34,1.6,0.02,-0.63,1.42,1.4,0.52,-0.89,-0.62,2.06,-0.31,1.82,-0.05,1.3,0.15,-1.11,-0.64,-0.1,-1.28
1953-10,-1.07,4.33,4.65,7.11,3.48,5.14,5.3,5.44,6.84,3.89,2.33,5.43,4.14,4.91,5.48,3.58,7.53,6.57,7.19
1953-11,-2.47,3.52,2.76,2.32,3.83,2.87,2.95,2.43,2.73,4.28,2.55,3.13,1.96,4.24,2.35,3.11,1.68,2.67,2.82
1953-12,-8.01,0.4,0.3,1.49,0.49,0.17,0.66,0.87,1.28,0.57,0.24,0.3,-0.31,1.22,0.38,0.02,1.82,1.88,0.52
1954-01,18.19,3.3,6.48,7.43,2.49,4.25,7.2,7.35,7.4,2.21,3.3,4.34,3.93,5.46,8.05,7.23,7.48,6.68,8.33
1954-02,3.08,1.51,1.53,3.12,0.5,2.59,1.46,2.69,2.44,0.17,1.44,2.79,1.9,1.64,1.37,1.35,4.16,3.76,0.75
1954-03,5.06,4.13,2.97,5.81,4.15,3.8,3.11,4.53,5.54,3.72,5.38,4.11,2.67,2.75,3.28,2.94,6.23,6.22,4.64
