Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1951-07,2.86,7.42,6.46,7.3,7.38,6.91,6.07,7.01,7.62,7.75,7.02,7.5,6.33,6.88,5.25,7.37,6.65,8.49,6.73
1951-08,13.61,4.42,5.35,5.01,3.74,5.51,5.08,5.58,4.96,2.97,4.49,5.81,5.21,4.12,6.03,6.02,5.13,4.65,5.27
1951-09,-2.42,1.14,1.74,2.3,0.79,2.02,1.13,2.19,2.49,0.31,1.26,1.83,2.2,1.88,0.39,2.46,1.91,3.13,1.82
1951-10,-3.31,-2.92,-2.16,-2.5,-3.27,-3.1,-1.27,-2.64,-2.16,-4.0,-2.57,-2.21,-3.96,-2.04,-0.5,-2.11,-3.18,-1.64,-2.71
1951-11,8.88,0.9,1.82,1.03,0.9,1.43,1.58,2.27,0.37,1.05,0.76,0.9,1.95,2.14,1.02,2.17,2.38,0.01,0.73
1951-12,0.03,2.69,2.58,1.76,2.84,3.18,2.47,2.36,0.99,4.0,1.71,2.38,3.96,3.08,1.86,1.4,3.34,0.52,1.47
1952-01,-0.25,2.27,0.92,1.49,1.94,1.45,1.1,1.04,1.94,0.45,3.38,2.94,0.0,0.49,1.71,1.5,0.56,1.43,2.47
1952-02,-2.7,-3.79,-2.59,-1.23,-3.83,-3.12,-2.7,-1.75,-1.32,-4.58,-3.11,-3.71,-2.54,-2.82,-2.59,-2.41,-1.06,-1.83,-0.79
1952-03,-2.28,1.97,2.84,4.02,2.33,1.78,3.14,3.29,4.13,1.79,2.86,1.23,2.32,3.3,2.97,2.79,3.8,3.95,4.32
1952-04,-4.89,-4.71,-5.2,-5.37,-4.69,-5.08,-5.13,-4.53,-6.1,-4.59,-4.79,-4.75,-5.4,-5.76,-4.49,-5.14,-3.9,-5.61,-6.6
