Date,US Job Postings Indeed
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.1
2020-02-06,0.2
2020-02-07,0.2
2020-02-08,0.2
2020-02-09,0.2
2020-02-10,0.3
2020-02-11,0.2
2020-02-12,0.2
2020-02-13,0.1
2020-02-14,0.1
2020-02-15,-0.2
2020-02-16,-0.4
2020-02-17,-0.6
2020-02-18,-0.8
2020-02-19,-1.0
2020-02-20,-1.2
2020-02-21,-1.5
2020-02-22,-1.6
2020-02-23,-1.6
2020-02-24,-1.6
2020-02-25,-1.7
2020-02-26,-1.7
2020-02-27,-1.6
2020-02-28,-1.6
2020-02-29,-1.5
2020-03-01,-1.4
2020-03-02,-1.4
2020-03-03,-1.4
2020-03-04,-1.6
2020-03-05,-1.7
2020-03-06,-1.8
2020-03-07,-2.0
2020-03-08,-2.1
2020-03-09,-2.2
2020-03-10,-2.3
2020-03-11,-2.4
2020-03-12,-2.5
2020-03-13,-2.7
2020-03-14,-2.9
2020-03-15,-3.2
2020-03-16,-3.4
2020-03-17,-4.0
2020-03-18,-4.7
2020-03-19,-5.5
2020-03-20,-6.5
2020-03-21,-7.9
2020-03-22,-9.2
2020-03-23,-10.6
2020-03-24,-11.8
2020-03-25,-13.2
2020-03-26,-14.5
2020-03-27,-16.0
2020-03-28,-17.2
2020-03-29,-18.5
2020-03-30,-19.7
2020-03-31,-21.0
2020-04-01,-22.2
2020-04-02,-23.4
2020-04-03,-24.3
2020-04-04,-25.4
2020-04-05,-26.7
2020-04-06,-27.8
2020-04-07,-28.9
2020-04-08,-29.7
2020-04-09,-30.6
2020-04-10,-31.5
2020-04-11,-32.0
2020-04-12,-32.6
2020-04-13,-33.2
2020-04-14,-33.7
2020-04-15,-34.3
2020-04-16,-34.8
2020-04-17,-35.2
2020-04-18,-35.6
2020-04-19,-35.9
2020-04-20,-36.2
2020-04-21,-36.5
2020-04-22,-36.8
2020-04-23,-37.0
2020-04-24,-37.2
2020-04-25,-37.4
2020-04-26,-37.5
2020-04-27,-37.8
2020-04-28,-38.0
2020-04-29,-38.2
2020-04-30,-38.3
2020-05-01,-38.4
2020-05-02,-38.6
2020-05-03,-38.7
2020-05-04,-38.9
2020-05-05,-39.0
2020-05-06,-39.0
2020-05-07,-39.0
2020-05-08,-38.9
2020-05-09,-38.7
2020-05-10,-38.5
2020-05-11,-38.4
2020-05-12,-38.2
2020-05-13,-38.5
2020-05-14,-38.4
2020-05-15,-38.2
2020-05-16,-38.2
2020-05-17,-38.2
2020-05-18,-38.1
2020-05-19,-38.0
2020-05-20,-37.6
2020-05-21,-37.3
2020-05-22,-37.2
2020-05-23,-36.9
2020-05-24,-36.8
2020-05-25,-36.6
2020-05-26,-36.5
2020-05-27,-36.4
2020-05-28,-36.4
2020-05-29,-36.2
2020-05-30,-35.9
2020-05-31,-35.6
2020-06-01,-35.4
2020-06-02,-35.1
2020-06-03,-34.8
2020-06-04,-34.4
2020-06-05,-34.1
2020-06-06,-34.0
2020-06-07,-33.7
2020-06-08,-33.4
2020-06-09,-33.2
2020-06-10,-32.9
2020-06-11,-32.7
2020-06-12,-32.5
2020-06-13,-32.2
2020-06-14,-31.9
2020-06-15,-31.5
2020-06-16,-31.1
2020-06-17,-30.8
2020-06-18,-30.4
2020-06-19,-30.0
2020-06-20,-29.5
2020-06-21,-29.0
2020-06-22,-28.5
2020-06-23,-28.3
2020-06-24,-28.1
2020-06-25,-27.8
2020-06-26,-27.7
2020-06-27,-27.6
2020-06-28,-27.6
2020-06-29,-27.5
2020-06-30,-27.2
2020-07-01,-26.9
2020-07-02,-26.7
2020-07-03,-26.4
2020-07-04,-26.1
2020-07-05,-25.9
2020-07-06,-25.6
2020-07-07,-25.4
2020-07-08,-25.1
2020-07-09,-24.7
2020-07-10,-24.4
2020-07-11,-24.0
2020-07-12,-23.6
2020-07-13,-23.2
2020-07-14,-22.8
2020-07-15,-22.5
2020-07-16,-22.3
2020-07-17,-22.1
2020-07-18,-22.1
2020-07-19,-21.9
2020-07-20,-21.8
2020-07-21,-21.6
2020-07-22,-21.4
2020-07-23,-21.1
2020-07-24,-20.7
