Date,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1963-07,-0.71,-0.76,-0.23,-0.52,-1.23,-0.69,-0.57,-0.11,0.67,-2.08,-1.3,-1.17,-1.03,-0.37,-0.53,-0.61,-1.15,0.5
1963-08,5.0,4.26,3.98,5.24,4.26,4.0,4.19,4.09,5.15,5.36,4.25,4.27,4.6,3.45,4.73,3.64,3.83,4.24
1963-09,-1.17,-1.57,-1.58,-1.0,-1.0,-1.91,-1.46,-1.81,-0.99,-1.02,-1.69,-0.36,-2.58,-1.29,-2.03,-0.86,-1.63,-1.91
1963-10,1.75,1.1,1.55,1.87,0.88,1.37,2.01,1.15,1.2,2.75,1.38,0.42,0.42,2.25,1.24,2.8,1.76,0.8
1963-11,-1.66,-1.2,-2.18,-2.17,-0.71,-1.31,-1.46,-2.25,-2.22,-2.1,-0.11,-1.27,-0.88,-1.72,-0.94,-1.99,-1.77,-2.52
1963-12,-0.76,1.05,-0.71,-1.2,1.15,1.36,0.13,-1.05,-2.1,-0.02,0.57,1.68,0.2,2.45,-0.09,0.37,-0.96,-1.11
1964-01,5.24,2.46,2.46,5.61,3.1,2.17,3.15,2.29,6.23,4.81,4.1,2.17,2.33,2.01,3.27,3.02,2.86,1.96
1964-02,2.29,2.35,2.3,2.27,1.77,2.61,1.94,2.72,2.89,1.46,2.35,1.23,2.84,2.39,2.9,0.96,4.01,1.97
1964-03,5.33,2.56,1.71,5.73,3.71,2.63,2.07,1.48,6.48,4.76,4.08,3.36,3.35,1.96,1.69,2.46,1.51,1.46
1964-04,-0.09,0.42,-0.61,0.3,-0.34,0.65,-0.55,-0.5,0.62,-0.12,-1.26,0.53,0.4,0.89,-0.13,-0.98,0.85,-1.27
1964-05,1.78,0.83,-0.39,1.85,1.39,0.58,0.42,-0.48,2.65,0.8,1.56,1.23,0.87,0.3,0.93,-0.1,0.31,-0.93
1964-06,0.76,2.18,0.92,0.43,1.79,2.11,1.94,0.83,0.42,0.43,1.76,1.81,2.38,1.86,2.65,1.21,1.46,0.47
1964-07,3.1,2.96,2.51,2.67,3.59,3.22,2.54,2.5,2.81,2.43,4.37,2.77,3.61,2.85,2.57,2.52,2.24,2.68
1964-08,-0.63,-0.57,-0.15,-0.9,0.12,-0.86,0.03,-0.41,-0.63,-1.34,0.15,0.08,-0.33,-1.38,-0.6,0.5,-0.95,-0.04
1964-09,3.66,3.63,3.59,3.99,3.03,3.17,3.54,3.99,4.41,3.28,2.7,3.38,4.04,2.33,4.85,2.57,4.44,3.68
1964-10,2.52,1.65,1.89,2.46,1.95,1.67,2.12,1.78,2.61,2.22,2.7,1.17,1.93,1.42,2.08,2.16,1.84,1.75
1964-11,-0.53,-0.08,0.07,-0.37,-0.54,0.0,0.21,-0.13,-0.78,0.33,-1.01,-0.05,0.2,-0.19,-0.28,0.58,-0.36,0.03
1964-12,-2.43,-0.37,-0.48,-3.02,-1.05,0.11,-0.27,-0.57,-3.84,-1.62,-0.67,-1.45,0.2,0.02,-0.31,-0.25,-0.4,-0.68
1965-01,7.85,6.31,6.7,8.42,6.37,6.45,5.58,7.18,9.75,6.16,6.15,6.6,5.83,7.04,5.72,5.47,7.42,7.01
1965-02,3.55,3.17,3.73,3.84,2.86,2.99,3.47,3.88,5.03,1.82,2.69,3.05,3.15,2.84,3.65,3.33,3.49,4.15
1965-03,2.49,0.31,0.68,2.87,0.96,0.02,0.87,0.56,4.02,0.91,1.37,0.53,0.38,-0.33,0.71,0.98,1.25,0.1
1965-04,3.35,4.01,4.92,3.19,3.66,3.62,4.96,5.02,3.4,2.83,3.82,3.49,3.82,3.43,5.36,4.66,6.84,3.79
1965-05,-0.07,-0.76,0.48,-0.3,-0.11,-0.62,-0.45,0.7,0.0,-0.82,0.63,-0.89,-0.75,-0.49,-0.91,-0.1,1.05,0.47
1965-06,-8.85,-6.81,-8.98,-9.22,-7.48,-6.34,-7.69,-9.4,-9.81,-8.22,-7.75,-7.2,-5.69,-6.98,-7.4,-7.9,-8.73,-9.85
1965-07,2.82,2.55,2.93,2.91,3.03,1.97,3.2,2.69,2.94,2.87,2.54,3.54,2.0,1.95,2.79,3.5,3.37,2.18
1965-08,4.18,3.75,5.04,4.76,2.94,3.6,4.61,5.16,5.2,4.18,2.48,3.43,3.39,3.79,4.4,4.76,5.7,4.76
1965-09,3.55,3.04,3.09,3.55,3.09,2.61,3.65,3.08,4.34,2.5,3.57,2.57,2.37,2.82,4.38,3.13,3.89,2.48
1965-10,6.77,4.21,6.47,7.75,3.79,4.32,5.39,6.65,8.21,7.14,3.88,3.71,4.58,4.09,4.48,6.04,6.33,6.89
1965-11,6.25,3.17,5.54,7.22,3.26,3.24,4.25,5.73,8.58,5.41,3.38,3.13,1.93,4.41,3.07,5.1,7.2,4.64
1965-12,4.49,3.44,5.19,5.28,2.91,2.98,4.35,5.48,7.42,2.43,2.14,3.71,2.88,3.07,4.13,4.52,5.6,5.38
1966-01,7.48,4.09,5.68,8.45,3.99,4.41,5.18,5.57,9.56,6.98,4.59,3.36,4.06,4.71,4.14,5.93,6.28,5.05
