Date,M1_velocity
2010-01-01,8.708
2010-04-01,8.742
2010-07-01,8.671
2010-10-01,8.434
2011-01-01,8.205
2011-04-01,8.044
2011-07-01,7.533
2011-10-01,7.339
2012-01-01,7.264
2012-04-01,7.183
2012-07-01,6.939
2012-10-01,6.728
2013-01-01,6.729
2013-04-01,6.648
2013-07-01,6.623
2013-10-01,6.492
2014-01-01,6.314
2014-04-01,6.272
2014-07-01,6.277
2014-10-01,6.165
2015-01-01,6.06
2015-04-01,6.097
2015-07-01,6.057
2015-10-01,6.007
2016-01-01,5.927
2016-04-01,5.798
2016-07-01,5.731
2016-10-01,5.708
2017-01-01,5.647
2017-04-01,5.556
2017-07-01,5.52
2017-10-01,5.541
2018-01-01,5.579
2018-04-01,5.629
2018-07-01,5.636
2018-10-01,5.604
2019-01-01,5.636
2019-04-01,5.627
2019-07-01,5.603
2019-10-01,5.52
2020-01-01,5.328
2020-04-01,1.589
2020-07-01,1.278
2020-10-01,1.252
2021-01-01,1.231
2021-04-01,1.214
2021-07-01,1.209
2021-10-01,1.217
2022-01-01,1.217
2022-04-01,1.238
2022-07-01,1.271
2022-10-01,1.323
2023-01-01,1.392
2023-04-01,1.459
2023-07-01,1.509
