Date,< 0 ,ZERO,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1963-07,-0.88,-0.4,-1.45,0.19,-0.58,-1.94,0.18,-0.88,-2.01,0.84,-0.71,-0.95,-0.21,-2.47,-1.48,-0.95,1.12
1963-08,4.44,3.54,5.61,5.15,5.83,3.45,4.48,5.97,5.26,4.41,6.19,5.94,5.73,3.37,3.53,4.13,4.77
1963-09,-0.43,-1.76,-1.54,-0.33,-2.75,-1.74,-1.91,-1.53,-1.56,0.87,-1.99,-0.9,-4.57,-2.13,-1.39,-1.3,-2.42
1963-10,0.43,1.08,2.12,2.26,3.22,2.62,0.35,2.21,2.02,1.61,3.17,2.16,4.25,4.55,0.94,1.01,-0.2
1963-11,-0.49,-1.7,-1.68,-1.9,-2.06,-0.42,-3.16,-1.55,-1.81,-2.64,-0.86,-1.95,-2.17,-1.65,0.65,-3.05,-3.24
1963-12,0.04,-0.32,-0.34,1.17,0.63,-1.15,-0.24,0.26,-0.93,1.98,0.05,1.35,-0.09,0.48,-2.57,-0.22,-0.26
1964-01,3.34,4.49,3.47,2.99,1.7,1.6,3.7,4.0,2.95,4.66,0.68,0.3,3.07,2.33,0.97,4.21,3.27
1964-02,1.98,3.32,2.27,1.3,2.08,2.65,1.28,3.1,1.45,0.68,2.15,1.64,2.51,2.79,2.53,1.25,1.31
1964-03,3.56,3.79,3.86,3.95,1.9,2.86,1.22,6.13,1.64,3.94,3.96,1.4,2.39,2.61,3.07,1.95,0.61
1964-04,-0.14,0.83,0.01,0.26,-1.69,-1.25,-0.29,-1.18,1.19,0.86,-0.58,-1.18,-2.2,-0.87,-1.58,-0.13,-0.42
1964-05,1.53,1.54,0.14,0.86,0.07,-0.06,-0.46,-0.97,1.23,1.6,-0.17,0.37,-0.23,0.11,-0.21,-0.4,-0.5
