Date,< 0 ,ZERO,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1963-07,0.54,0.26,-0.35,0.52,-0.52,0.07,0.02,-1.14,0.75,1.47,-1.4,-1.23,0.61,-0.6,0.84,-0.13,0.95
1963-08,5.52,4.17,4.89,6.32,5.93,6.97,4.62,5.09,4.61,5.76,7.48,5.33,6.86,6.29,7.74,4.3,6.64
1963-09,-2.06,-2.39,-1.65,0.03,-0.91,-2.68,0.02,-0.54,-3.18,-0.89,1.9,0.75,-3.44,-2.54,-2.83,0.42,-2.4
1963-10,0.38,1.38,2.66,5.97,5.77,3.81,1.95,1.86,3.8,8.8,0.33,6.57,4.5,3.66,3.98,1.99,1.74
1963-11,-0.85,-0.8,0.32,-3.63,-1.17,0.57,2.3,0.28,0.38,-4.99,-0.7,-1.27,-1.01,-0.53,1.8,2.81,-0.92
1963-12,2.67,2.98,2.71,0.96,3.13,2.64,1.29,1.33,4.62,1.74,-0.65,2.59,4.02,2.9,2.36,1.41,0.44
1964-01,2.78,2.34,4.19,2.01,2.96,1.18,2.75,3.03,5.73,1.71,2.64,4.3,0.82,2.46,-0.23,3.07,0.66
1964-02,2.33,2.68,2.09,1.62,2.07,1.55,0.31,2.6,1.42,0.71,3.52,3.12,0.31,1.6,1.49,0.17,1.27
1964-03,2.66,2.78,1.81,1.16,2.64,2.79,-0.5,1.62,2.07,1.27,0.96,2.96,2.09,1.73,3.99,-1.0,2.81
1964-04,0.6,0.6,0.45,2.29,-2.39,-0.75,1.79,-0.43,1.61,3.28,0.3,-3.01,-1.32,-0.64,-0.87,2.07,-0.01
1964-05,1.74,1.91,1.1,2.86,1.93,1.95,-0.03,0.58,1.77,3.29,1.97,2.87,0.34,0.14,3.96,-0.16,0.81
1964-06,1.49,1.34,0.79,1.69,0.86,1.23,3.87,0.73,0.86,1.51,2.09,1.29,0.1,0.94,1.54,4.45,0.13
1964-07,1.84,3.08,2.22,4.27,-0.57,2.84,0.85,2.34,1.85,3.21,5.01,-0.68,-0.51,3.13,2.62,0.22,1.85
1964-08,-1.97,-0.96,-1.15,0.21,-2.1,-0.86,-0.78,-1.09,-1.35,-0.77,0.9,-3.11,-1.55,-1.15,-0.62,-0.33,-1.49
1964-09,3.03,3.19,3.69,3.71,0.79,3.65,4.53,3.69,3.72,3.42,3.91,0.82,0.77,3.72,3.59,5.37,3.21
1964-10,3.44,0.23,0.97,0.92,-1.3,2.0,0.04,0.8,1.5,1.46,0.56,-2.04,-0.9,1.92,2.07,-0.9,1.53
1964-11,1.9,0.29,1.11,-0.14,-0.71,0.57,-0.21,1.58,-0.39,2.78,-2.14,-0.45,-0.85,-0.08,1.09,-0.6,0.4
1964-12,-0.48,-1.05,0.78,1.11,1.93,-0.96,0.96,1.09,-0.24,-0.35,2.17,-0.3,3.13,-1.31,-0.69,0.78,1.24
1965-01,1.93,4.11,4.5,3.08,3.52,5.7,4.83,4.3,5.14,2.74,3.32,7.85,1.26,6.38,5.17,4.64,5.12
1965-02,-0.86,1.47,1.02,-0.14,1.45,0.78,2.41,0.39,3.05,1.11,-1.01,1.87,1.21,0.94,0.65,2.41,2.41
1965-03,-2.27,-0.35,-2.13,-0.64,-0.59,-0.57,-1.56,-2.39,-1.31,-2.31,0.57,-0.39,-0.71,0.34,-1.31,-2.33,-0.38
1965-04,1.96,1.72,2.12,6.23,4.06,3.74,3.19,1.36,4.55,6.13,6.29,5.1,3.47,3.85,3.65,3.34,2.96
1965-05,0.05,-0.53,0.44,-2.03,0.86,-0.56,0.72,0.6,-0.06,-0.64,-3.0,-1.39,2.14,-1.79,0.44,1.13,0.09
1965-06,-3.07,-5.32,-5.09,-5.45,-4.78,-5.07,-6.51,-4.91,-5.66,-4.07,-6.44,-4.7,-4.83,-4.88,-5.23,-6.01,-7.28
1965-07,2.26,2.42,1.7,0.23,3.75,2.07,0.54,0.81,2.88,0.24,0.22,3.51,3.9,2.85,1.04,0.19,1.66
1965-08,4.12,3.89,3.05,1.69,4.8,2.89,1.94,2.26,4.06,1.02,3.0,4.39,5.06,2.56,3.34,1.15,4.41
1965-09,3.49,2.24,2.33,4.13,4.38,4.76,1.68,2.51,2.1,5.3,1.87,6.9,2.81,5.25,4.11,1.21,3.1
1965-10,2.97,3.64,2.93,4.09,3.03,2.29,0.71,3.37,2.37,4.09,4.08,2.49,3.38,2.08,2.58,-0.37,3.93
1965-11,2.41,-0.13,-0.27,-0.74,1.24,2.01,-1.77,-0.97,0.62,-2.97,3.67,-0.1,2.1,1.39,2.84,-3.0,1.76
1965-12,1.08,3.01,1.77,0.38,0.16,2.16,0.39,2.12,1.32,0.97,-0.69,2.79,-1.49,1.43,3.12,-0.29,2.23
1966-01,2.2,1.27,1.47,-0.5,1.58,1.33,-0.4,0.34,2.92,-0.3,-0.88,0.67,2.18,0.77,2.06,-0.92,0.99
1966-02,-1.14,-2.32,-1.89,-2.04,0.79,-0.57,0.28,-1.72,-2.11,-2.98,-0.27,-2.33,2.81,0.63,-2.1,-0.15,1.4
1966-03,-1.8,-0.04,-2.37,-2.89,-0.33,-1.92,-3.84,-2.87,-1.75,-4.05,-0.76,-0.98,0.07,-2.84,-0.72,-3.95,-3.55
1966-04,2.87,2.68,1.9,0.86,5.14,2.17,2.22,0.97,3.05,0.56,1.38,4.73,5.38,2.56,1.68,1.57,3.87
1966-05,-6.26,-5.2,-4.89,-5.63,-4.6,-5.26,-3.96,-3.97,-6.0,-6.21,-4.62,-6.46,-3.48,-6.48,-3.68,-3.26,-5.7
1966-06,0.41,-0.86,-1.66,-2.22,-0.81,-1.9,0.51,-1.35,-2.05,-2.58,-1.61,0.22,-1.41,-2.22,-1.49,0.67,0.1
1966-07,-0.33,-1.17,-0.11,-2.33,-2.01,-2.06,-1.75,-0.86,0.62,-4.0,-0.16,-2.63,-0.51,-1.72,-2.64,-2.53,-0.87
1966-08,-6.37,-9.5,-7.45,-6.81,-7.21,-7.41,-8.29,-6.98,-7.91,-6.98,-6.61,-6.26,-9.44,-5.52,-10.63,-7.98,-8.62
1966-09,2.24,1.68,-1.9,0.11,-2.6,-0.78,-3.62,-5.25,1.35,-0.51,0.87,-3.2,-1.14,-1.59,0.69,-3.42,-3.84
1966-10,7.02,6.69,2.55,4.06,2.72,6.38,0.88,4.78,0.53,4.26,3.82,2.9,2.28,8.42,2.8,0.89,0.87
1966-11,-0.59,0.11,0.6,0.9,6.66,1.36,6.56,1.17,0.06,0.79,1.03,8.25,2.88,-1.63,6.91,6.32,6.84
1966-12,-1.09,2.85,0.54,-1.92,0.15,1.94,1.83,1.22,-0.12,-3.44,-0.04,-0.56,1.92,2.51,0.97,1.65,2.04
1967-01,6.36,6.93,9.14,7.6,9.16,8.09,10.91,8.32,9.94,6.84,8.5,8.98,9.6,7.64,8.86,10.62,11.23
1967-02,-0.15,-0.71,0.36,0.45,3.64,1.89,1.94,1.14,-0.38,-0.52,1.58,4.55,1.41,1.76,2.12,1.07,2.9
1967-03,4.26,2.97,3.88,2.63,5.19,5.64,6.4,3.68,4.07,2.26,3.04,5.41,4.66,4.94,6.82,6.96,5.79
1967-04,2.44,2.45,5.47,5.68,8.21,1.7,4.87,2.76,8.09,6.66,4.55,8.23,8.15,0.91,3.02,5.94,3.71
1967-05,-2.92,-2.96,-5.36,-4.81,-4.58,-4.77,-3.41,-5.01,-5.68,-6.09,-3.33,-4.5,-4.8,-5.19,-4.09,-4.44,-2.29
1967-06,2.47,2.09,-0.41,1.92,3.91,3.59,4.24,0.78,-1.51,1.1,2.85,4.36,2.75,4.28,2.49,2.3,6.32
1967-07,8.42,5.17,6.63,4.27,4.43,1.0,4.96,6.82,6.25,3.48,5.91,4.15,4.61,-1.9,3.81,4.07,5.76
1967-08,-0.82,-0.46,-0.69,-0.36,-0.64,-0.95,-1.02,-0.43,-1.21,-0.26,-0.55,-0.44,-0.76,-1.04,-0.86,0.17,-2.06
1967-09,2.83,1.03,4.14,2.76,3.52,4.98,2.42,3.63,5.17,3.32,1.61,1.85,4.54,2.78,6.99,1.05,3.64
1967-10,-4.0,-4.53,-3.15,-2.33,-2.93,0.29,-3.57,-2.24,-4.94,-1.01,-5.03,-5.36,-1.48,-3.06,3.22,-4.84,-2.45
1967-11,-0.25,1.14,-0.68,1.43,0.81,1.57,1.15,-0.83,-0.39,2.33,-0.49,0.18,1.16,-0.15,2.98,0.63,1.6
1967-12,2.52,3.36,3.78,3.42,3.6,1.97,4.21,3.53,4.29,3.5,3.22,5.16,2.73,1.55,2.29,3.12,5.13
1968-01,-2.75,-0.99,-3.66,-4.26,-6.63,-3.59,-5.99,-3.05,-4.89,-4.65,-3.4,-4.92,-7.61,-1.67,-5.1,-5.44,-6.44
1968-02,-3.01,-2.62,-2.12,-3.15,-3.8,-3.32,-5.12,-2.39,-1.57,-3.22,-3.01,-3.73,-3.84,-3.3,-3.34,-4.79,-5.4
1968-03,-0.38,-1.69,0.29,1.41,2.0,1.68,0.63,0.33,0.21,1.48,1.25,0.99,2.6,-0.59,3.52,0.58,0.68
1968-04,9.93,6.99,7.52,9.45,12.31,8.65,10.57,6.8,8.97,9.31,9.74,11.59,12.71,6.38,10.43,8.74,12.1
1968-05,1.38,3.25,-0.27,3.8,5.35,2.08,3.31,-0.58,0.33,4.39,2.52,4.16,6.02,-0.42,3.96,4.07,2.69
1968-06,1.62,3.99,1.07,-0.14,-0.79,1.17,0.93,1.79,-0.33,-0.79,1.3,-0.5,-0.95,2.64,0.11,3.34,-1.06
1968-07,1.03,-0.28,-1.64,-2.53,-4.15,-2.81,-5.79,-1.08,-2.53,-1.12,-4.02,-3.69,-4.45,-3.57,-1.92,-4.4,-7.03
1968-08,2.21,1.65,1.89,1.13,2.52,1.23,1.45,1.12,3.16,1.75,0.47,2.67,2.42,1.52,0.89,1.17,1.7
1968-09,3.84,3.64,5.1,3.51,3.87,5.13,4.97,4.92,5.38,4.45,2.49,4.33,3.55,3.59,6.9,5.53,4.45
1968-10,1.99,2.57,2.39,-0.91,0.41,-1.02,0.72,3.66,0.36,0.7,-2.71,0.64,0.25,0.2,-2.38,0.78,0.65
1968-11,5.87,5.99,3.18,6.25,5.89,8.65,7.23,2.59,4.15,5.69,6.89,6.77,5.29,8.19,9.17,6.43,7.97
1968-12,-4.05,-2.26,-3.82,-5.22,-2.98,-1.88,-3.07,-3.75,-3.92,-5.19,-5.25,-1.86,-3.75,-2.64,-1.02,-2.7,-3.41
1969-01,-0.98,0.8,1.01,-1.83,-0.53,-2.33,-2.26,0.19,2.33,0.09,-4.01,-0.71,-0.41,-2.36,-2.29,-1.62,-2.85
1969-02,-4.07,-5.02,-3.82,-3.79,-5.3,-7.33,-8.16,-2.85,-5.34,-4.17,-3.33,-5.82,-4.94,-6.85,-7.87,-7.16,-9.09
1969-03,4.4,1.81,4.38,3.35,3.16,2.29,2.29,3.78,5.36,1.28,5.77,2.67,3.5,0.89,3.87,1.93,2.62
1969-04,2.78,0.99,1.48,3.79,0.87,2.52,0.89,1.05,2.16,4.38,3.12,1.97,0.11,3.58,1.36,1.12,0.68
1969-05,0.91,0.39,-0.17,0.48,0.04,0.56,-0.33,0.74,-1.59,1.2,-0.33,0.06,0.02,-0.17,1.37,1.28,-1.87
1969-06,-6.6,-7.12,-6.57,-3.37,-6.89,-8.31,-8.25,-6.81,-6.17,-5.38,-1.07,-7.48,-6.47,-6.78,-10.0,-6.18,-10.3
1969-07,-6.55,-5.89,-5.64,-5.13,-6.17,-8.51,-9.0,-5.64,-5.63,-4.34,-5.48,-7.29,-5.58,-8.01,-9.0,-8.36,-9.66
1969-08,4.71,2.15,3.85,6.18,4.57,6.4,9.19,3.36,4.75,4.41,6.98,5.37,4.16,6.3,6.49,8.45,9.97
1969-09,-3.45,-1.64,-2.49,-0.66,-2.26,-4.01,-3.76,-2.75,-2.01,1.11,-1.44,-1.88,-2.47,-1.91,-6.11,-1.62,-5.98
1969-10,4.73,6.06,4.09,6.09,6.01,6.46,7.27,4.13,4.02,7.83,5.31,6.92,5.53,7.02,5.88,4.56,10.21
1969-11,-3.5,-4.92,-4.17,-1.54,-1.92,-4.13,-3.94,-4.57,-3.46,-2.87,-0.92,-3.39,-1.12,-5.17,-3.03,-3.22,-4.67
1969-12,-1.77,-2.14,-1.02,0.62,-3.56,-3.61,-3.86,-0.43,-2.06,0.83,0.53,-2.16,-4.29,-2.75,-4.51,-2.57,-5.22
1970-01,-6.52,-5.36,-8.26,-7.36,-5.47,-7.93,-12.46,-8.2,-8.36,-6.88,-7.58,-7.67,-4.28,-6.48,-9.46,-12.02,-12.94
1970-02,4.19,7.9,6.3,4.91,6.12,7.83,4.25,7.21,4.64,5.46,4.66,6.74,5.8,7.53,8.14,4.77,3.7
1970-03,2.57,0.85,1.2,-1.81,-0.23,-1.25,-4.79,1.68,0.31,-1.87,-1.78,-1.61,0.49,-1.28,-1.23,-4.56,-5.05
1970-04,-8.68,-9.09,-7.23,-10.35,-10.27,-12.92,-17.68,-7.62,-6.5,-9.78,-10.61,-10.93,-9.93,-12.95,-12.89,-15.58,-20.0
