Date,Manufaturing
2010-01-01,173.1
2010-02-01,172.2
2010-03-01,173.9
2010-04-01,175.2
2010-05-01,176.1
2010-06-01,174.8
2010-07-01,174.7
2010-08-01,175.3
2010-09-01,175.5
2010-10-01,177.3
2010-11-01,178.2
2010-12-01,179.1
2011-01-01,181.1
2011-02-01,183.3
2011-03-01,187.3
2011-04-01,190.2
2011-05-01,191.9
2011-06-01,191.1
2011-07-01,191.7
2011-08-01,190.7
2011-09-01,191.5
2011-10-01,190.2
2011-11-01,190.6
2011-12-01,189.6
2012-01-01,191.1
2012-02-01,192.1
2012-03-01,194.3
2012-04-01,194.7
2012-05-01,193.6
2012-06-01,191.7
2012-07-01,191.2
2012-08-01,193.5
2012-09-01,195.4
2012-10-01,195.1
2012-11-01,192.6
2012-12-01,191.8
2013-01-01,192.6
2013-02-01,195.2
2013-03-01,194.5
2013-04-01,194.0
2013-05-01,194.0
2013-06-01,193.9
2013-07-01,194.0
2013-08-01,194.6
2013-09-01,194.3
2013-10-01,193.7
2013-11-01,192.7
2013-12-01,193.2
2014-01-01,194.2
2014-02-01,195.2
2014-03-01,196.2
2014-04-01,197.5
2014-05-01,197.2
2014-06-01,197.2
2014-07-01,197.4
2014-08-01,197.4
2014-09-01,196.8
2014-10-01,194.8
2014-11-01,192.7
2014-12-01,189.1
2015-01-01,185.0
2015-02-01,185.4
2015-03-01,186.2
2015-04-01,185.7
2015-05-01,188.2
2015-06-01,188.9
2015-07-01,188.5
2015-08-01,187.0
2015-09-01,184.3
2015-10-01,183.7
2015-11-01,182.9
2015-12-01,180.8
2016-01-01,179.7
2016-02-01,178.7
2016-03-01,179.3
2016-04-01,180.5
2016-05-01,181.9
2016-06-01,183.6
2016-07-01,183.4
2016-08-01,182.5
2016-09-01,183.0
2016-10-01,183.7
2016-11-01,183.2
2016-12-01,183.9
2017-01-01,185.6
2017-02-01,186.2
2017-03-01,186.7
2017-04-01,187.6
2017-05-01,187.3
2017-06-01,187.6
2017-07-01,187.3
2017-08-01,188.4
2017-09-01,189.6
2017-10-01,190.2
2017-11-01,191.2
2017-12-01,191.3
2018-01-01,192.6
2018-02-01,193.5
2018-03-01,194.0
2018-04-01,195.3
2018-05-01,197.7
2018-06-01,198.4
2018-07-01,198.5
2018-08-01,198.6
2018-09-01,198.9
2018-10-01,200.4
2018-11-01,198.4
2018-12-01,195.2
2019-01-01,194.3
2019-02-01,195.4
2019-03-01,197.4
2019-04-01,199.2
2019-05-01,199.1
2019-06-01,197.0
2019-07-01,197.5
2019-08-01,196.4
2019-09-01,195.9
2019-10-01,196.6
2019-11-01,196.5
2019-12-01,196.4
2020-01-01,196.6
2020-02-01,195.1
2020-03-01,192.3
2020-04-01,186.1
2020-05-01,188.9
2020-06-01,190.2
2020-07-01,192.3
2020-08-01,193.0
2020-09-01,192.9
2020-10-01,193.7
2020-11-01,194.5
2020-12-01,196.7
2021-01-01,199.6
2021-02-01,203.1
2021-03-01,207.9
2021-04-01,210.1
2021-05-01,215.1
2021-06-01,217.9
2021-07-01,219.492
2021-08-01,220.114
2021-09-01,221.869
2021-10-01,225.478
2021-11-01,227.109
2021-12-01,226.47
2022-01-01,231.495
2022-02-01,237.245
2022-03-01,245.404
2022-04-01,249.56
2022-05-01,256.396
2022-06-01,262.418
2022-07-01,256.526
2022-08-01,251.494
2022-09-01,251.891
2022-10-01,254.03
2022-11-01,252.905
2022-12-01,245.115
2023-01-01,249.178
2023-02-01,249.308
2023-03-01,248.98
2023-04-01,248.583
2023-05-01,246.206
2023-06-01,245.834
2023-07-01,245.48
2023-08-01,251.267
2023-09-01,252.608
