Date,Mining
2010-01-01,231.3
2010-02-01,222.3
2010-03-01,219.8
2010-04-01,213.4
2010-05-01,204.9
2010-06-01,204.8
2010-07-01,209.0
2010-08-01,211.6
2010-09-01,202.5
2010-10-01,212.2
2010-11-01,214.1
2010-12-01,227.3
2011-01-01,232.7
2011-02-01,232.4
2011-03-01,241.7
2011-04-01,256.6
2011-05-01,251.0
2011-06-01,247.2
2011-07-01,251.2
2011-08-01,237.4
2011-09-01,241.6
2011-10-01,235.1
2011-11-01,245.6
2011-12-01,238.6
2012-01-01,238.0
2012-02-01,234.9
2012-03-01,236.7
2012-04-01,229.9
2012-05-01,218.5
2012-06-01,208.4
2012-07-01,213.8
2012-08-01,224.6
2012-09-01,227.4
2012-10-01,226.0
2012-11-01,226.3
2012-12-01,227.7
2013-01-01,230.3
2013-02-01,230.9
2013-03-01,230.7
2013-04-01,236.0
2013-05-01,237.9
2013-06-01,235.8
2013-07-01,240.7
2013-08-01,240.6
2013-09-01,241.9
2013-10-01,236.2
2013-11-01,229.0
2013-12-01,235.2
2014-01-01,238.8
2014-02-01,258.1
2014-03-01,249.6
2014-04-01,247.7
2014-05-01,246.5
2014-06-01,246.7
2014-07-01,240.8
2014-08-01,232.1
2014-09-01,228.9
2014-10-01,216.7
2014-11-01,210.1
2014-12-01,196.5
2015-01-01,170.3
2015-02-01,170.4
2015-03-01,169.1
2015-04-01,169.6
2015-05-01,176.3
2015-06-01,176.5
2015-07-01,168.5
2015-08-01,159.5
2015-09-01,159.2
2015-10-01,159.1
2015-11-01,150.7
2015-12-01,144.2
2016-01-01,138.6
2016-02-01,135.4
2016-03-01,139.3
2016-04-01,145.4
2016-05-01,151.9
2016-06-01,156.5
2016-07-01,160.8
2016-08-01,157.1
2016-09-01,159.4
2016-10-01,165.5
2016-11-01,159.9
2016-12-01,173.5
2017-01-01,180.4
2017-02-01,177.5
2017-03-01,165.4
2017-04-01,173.1
2017-05-01,169.0
2017-06-01,167.0
2017-07-01,166.9
2017-08-01,169.5
2017-09-01,172.5
2017-10-01,174.2
2017-11-01,178.9
2017-12-01,182.0
2018-01-01,186.5
2018-02-01,187.8
2018-03-01,178.5
2018-04-01,183.0
2018-05-01,189.6
2018-06-01,188.3
2018-07-01,193.8
2018-08-01,188.8
2018-09-01,193.3
2018-10-01,195.9
2018-11-01,185.0
2018-12-01,190.5
2019-01-01,180.0
2019-02-01,175.6
2019-03-01,175.7
2019-04-01,176.0
2019-05-01,172.7
2019-06-01,164.7
2019-07-01,166.7
2019-08-01,163.5
2019-09-01,166.1
2019-10-01,163.1
2019-11-01,169.6
2019-12-01,170.6
2020-01-01,166.2
2020-02-01,154.7
2020-03-01,136.8
2020-04-01,120.6
2020-05-01,129.2
2020-06-01,138.7
2020-07-01,140.1
2020-08-01,146.6
2020-09-01,149.4
2020-10-01,146.8
2020-11-01,158.2
2020-12-01,163.7
2021-01-01,170.6
2021-02-01,198.6
2021-03-01,183.9
2021-04-01,179.0
2021-05-01,189.4
2021-06-01,197.0
2021-07-01,208.378
2021-08-01,209.121
2021-09-01,220.919
2021-10-01,244.336
2021-11-01,247.177
2021-12-01,227.092
2022-01-01,238.505
2022-02-01,264.722
2022-03-01,262.374
2022-04-01,277.409
2022-05-01,302.76
2022-06-01,325.767
2022-07-01,291.101
2022-08-01,311.239
2022-09-01,296.849
2022-10-01,260.482
2022-11-01,251.173
2022-12-01,257.172
2023-01-01,248.978
2023-02-01,231.311
2023-03-01,215.319
2023-04-01,219.205
2023-05-01,206.403
2023-06-01,202.583
2023-07-01,215.677
2023-08-01,222.996
2023-09-01,233.958
