Date,Transportation
2010-01-01,108.5
2010-02-01,108.7
2010-03-01,109.7
2010-04-01,110.4
2010-05-01,110.5
2010-06-01,111.4
2010-07-01,111.8
2010-08-01,111.2
2010-09-01,110.0
2010-10-01,111.1
2010-11-01,111.7
2010-12-01,111.9
2011-01-01,113.3
2011-02-01,114.5
2011-03-01,116.8
2011-04-01,117.7
2011-05-01,118.3
2011-06-01,118.3
2011-07-01,118.3
2011-08-01,118.8
2011-09-01,117.9
2011-10-01,118.5
2011-11-01,118.8
2011-12-01,119.0
2012-01-01,119.8
2012-02-01,120.6
2012-03-01,122.0
2012-04-01,122.5
2012-05-01,122.4
2012-06-01,122.4
2012-07-01,121.9
2012-08-01,122.3
2012-09-01,121.1
2012-10-01,122.1
2012-11-01,121.9
2012-12-01,121.8
2013-01-01,122.4
2013-02-01,122.4
2013-03-01,123.5
2013-04-01,122.5
2013-05-01,122.1
2013-06-01,123.3
2013-07-01,123.6
2013-08-01,123.8
2013-09-01,122.2
2013-10-01,123.1
2013-11-01,122.5
2013-12-01,124.3
2014-01-01,123.7
2014-02-01,123.2
2014-03-01,124.8
2014-04-01,125.5
2014-05-01,125.5
2014-06-01,126.3
2014-07-01,126.3
2014-08-01,126.7
2014-09-01,124.8
2014-10-01,124.8
2014-11-01,124.6
2014-12-01,124.9
2015-01-01,123.9
2015-02-01,123.0
2015-03-01,123.6
2015-04-01,123.0
2015-05-01,122.8
2015-06-01,123.5
2015-07-01,123.6
2015-08-01,122.4
2015-09-01,120.8
2015-10-01,121.2
2015-11-01,121.0
2015-12-01,120.4
2016-01-01,121.2
2016-02-01,120.6
2016-03-01,121.3
2016-04-01,121.0
2016-05-01,120.0
2016-06-01,121.2
2016-07-01,121.8
2016-08-01,121.2
2016-09-01,119.2
2016-10-01,120.4
2016-11-01,120.9
2016-12-01,122.1
2017-01-01,122.4
2017-02-01,122.5
2017-03-01,122.1
2017-04-01,122.8
2017-05-01,122.2
2017-06-01,123.4
2017-07-01,123.0
2017-08-01,122.8
2017-09-01,122.6
2017-10-01,124.1
2017-11-01,125.0
2017-12-01,124.3
2018-01-01,124.8
2018-02-01,125.8
2018-03-01,127.3
2018-04-01,127.6
2018-05-01,127.6
2018-06-01,129.4
2018-07-01,129.8
2018-08-01,129.2
2018-09-01,129.6
2018-10-01,131.4
2018-11-01,132.2
2018-12-01,131.8
2019-01-01,132.4
2019-02-01,131.2
2019-03-01,131.6
2019-04-01,132.2
2019-05-01,132.3
2019-06-01,133.2
2019-07-01,133.5
2019-08-01,132.5
2019-09-01,131.3
2019-10-01,132.7
2019-11-01,132.7
2019-12-01,134.8
2020-01-01,133.3
2020-02-01,132.4
2020-03-01,129.4
2020-04-01,125.1
2020-05-01,126.2
2020-06-01,128.1
2020-07-01,126.9
2020-08-01,125.2
2020-09-01,125.8
2020-10-01,128.8
2020-11-01,128.1
2020-12-01,127.4
2021-01-01,127.7
2021-02-01,128.7
2021-03-01,131.5
2021-04-01,136.1
2021-05-01,136.6
2021-06-01,139.8
2021-07-01,142.099
2021-08-01,142.801
2021-09-01,141.662
2021-10-01,144.088
2021-11-01,147.709
2021-12-01,150.716
2022-01-01,151.162
2022-02-01,153.211
2022-03-01,160.857
2022-04-01,164.69
2022-05-01,166.813
2022-06-01,169.208
2022-07-01,168.149
2022-08-01,166.399
2022-09-01,163.825
2022-10-01,165.899
2022-11-01,163.824
2022-12-01,163.877
2023-01-01,162.493
2023-02-01,162.444
2023-03-01,163.62
2023-04-01,159.584
2023-05-01,159.694
2023-06-01,160.666
2023-07-01,159.098
2023-08-01,155.997
2023-09-01,155.48
