Date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1963-07,0.0,-0.77,-0.69,-1.03,-0.68,0.22,-0.21,-0.91,-0.65,-0.51,-0.86,-1.24,-0.81,-0.68,-0.68
1963-08,3.85,5.07,4.65,5.43,3.54,3.41,4.32,4.21,5.94,4.39,4.9,4.75,6.0,5.03,3.01
1963-09,-0.53,-0.89,-1.24,-1.83,-1.08,-0.11,-0.95,-0.75,-1.04,-1.35,-1.13,-2.26,-1.43,-2.33,-0.63
1963-10,0.73,1.2,1.79,1.95,0.99,0.42,1.03,1.15,1.25,1.16,2.39,2.03,1.88,2.04,0.62
1963-11,-0.46,-1.02,-0.53,-0.47,-3.14,-0.21,-0.72,-0.66,-1.36,-0.94,-0.14,-0.61,-0.33,-1.01,-3.88
1963-12,1.9,0.92,1.1,0.82,-2.95,1.32,2.47,0.89,0.96,1.02,1.16,1.06,0.59,-0.64,-3.77
1964-01,2.25,1.75,2.63,3.18,4.47,2.02,2.48,1.1,2.35,2.32,2.92,3.08,3.26,2.43,5.17
1964-02,1.98,2.24,2.66,3.37,2.73,1.53,2.44,2.05,2.43,2.61,2.7,2.98,3.75,3.07,2.61
1964-03,2.42,2.24,3.35,3.97,2.32,1.89,2.98,2.5,1.96,4.05,2.74,3.93,4.01,3.76,1.83
1964-04,0.98,0.35,-0.17,-0.05,-0.25,0.82,1.16,0.34,0.36,-0.04,-0.31,0.59,-0.68,-1.12,0.06
1964-05,1.44,1.44,1.1,1.05,-0.26,1.49,1.39,0.98,1.83,0.94,1.28,1.03,1.06,1.17,-0.85
1964-06,1.4,2.18,2.28,1.84,-0.05,1.51,1.29,2.06,2.28,2.28,2.27,1.83,1.85,1.42,-0.58
1964-07,2.83,3.33,2.31,3.03,3.06,2.69,2.99,3.51,3.14,2.92,1.69,3.76,2.37,3.03,3.07
1964-08,-0.05,-0.21,-0.34,-1.1,-0.73,-0.26,0.17,-0.72,0.27,0.04,-0.69,-0.97,-1.21,-1.5,-0.46
1964-09,2.62,2.46,3.84,4.27,4.6,2.57,2.67,2.4,2.51,3.18,4.43,4.47,4.09,4.54,4.63
1964-10,1.06,1.45,1.7,2.73,2.11,1.03,1.1,1.87,1.03,1.31,2.09,3.41,2.14,1.68,2.27
1964-11,1.28,0.37,0.35,0.37,-0.96,1.27,1.28,0.28,0.46,0.54,0.14,0.83,-0.01,-0.29,-1.19
1964-12,-0.66,-0.54,-0.06,-0.59,-2.65,-0.7,-0.61,-0.62,-0.46,-0.13,0.01,-0.33,-0.83,-0.53,-3.37
1965-01,4.67,4.63,5.78,7.06,9.66,4.05,5.32,4.9,4.37,5.54,5.99,6.78,7.33,6.84,10.65
1965-02,1.34,2.98,3.41,3.55,4.26,1.06,1.65,2.48,3.49,4.16,2.65,4.41,2.8,4.56,4.15
1965-03,0.13,0.6,0.91,0.98,2.77,0.14,0.13,0.98,0.26,1.67,0.09,1.34,0.62,2.14,3.0
1965-04,2.24,3.73,4.1,5.87,4.36,2.33,2.14,3.29,4.14,4.05,4.16,5.35,6.26,4.45,4.32
1965-05,-0.62,-0.25,-0.36,-1.21,-0.56,-0.59,-0.65,0.18,-0.7,-0.14,-0.57,-1.3,-1.14,0.32,-0.85
1965-06,-4.71,-5.97,-7.3,-8.48,-10.65,-4.25,-5.19,-5.56,-6.36,-7.04,-7.55,-8.59,-8.39,-8.93,-11.24
1965-07,1.84,2.67,2.29,3.58,3.18,1.52,2.16,2.57,2.77,1.95,2.65,4.04,3.11,4.34,2.75
1965-08,2.68,3.67,4.24,4.74,4.72,2.44,2.91,3.27,4.06,4.06,4.41,4.53,4.93,5.79,4.25
1965-09,1.53,2.38,3.58,3.49,2.65,1.47,1.6,2.23,2.53,2.91,4.14,3.73,3.26,3.73,2.13
1965-10,2.08,3.44,5.13,5.75,8.56,1.49,2.7,2.74,4.17,5.68,4.57,5.32,6.1,7.01,9.21
1965-11,0.83,1.94,3.61,4.16,8.04,0.94,0.73,1.3,2.57,2.74,4.47,4.54,3.84,4.91,9.41
1965-12,0.88,2.34,4.05,4.77,6.09,0.3,1.47,1.89,2.8,3.83,4.27,5.35,4.29,5.69,6.26
1966-01,1.78,3.4,4.95,5.79,9.7,1.11,2.46,3.12,3.68,4.99,4.91,5.66,5.89,6.42,11.19
1966-02,-0.98,-0.67,1.25,2.5,6.56,-1.65,-0.3,-0.75,-0.59,0.72,1.75,2.4,2.57,3.73,7.72
1966-03,-1.56,-2.74,-1.75,-1.97,0.5,-1.95,-1.17,-2.28,-3.18,-2.94,-0.65,-1.5,-2.39,-2.93,2.03
1966-04,1.41,2.01,4.22,4.54,6.96,0.9,1.97,1.43,2.63,4.25,4.19,4.29,4.76,6.07,7.37
1966-05,-3.95,-4.88,-6.21,-8.6,-12.69,-3.57,-4.32,-4.27,-5.51,-5.58,-6.83,-8.19,-8.95,-9.79,-13.78
1966-06,-1.13,-0.17,-0.22,-0.2,-0.67,-1.1,-1.15,-0.36,0.02,-1.32,0.75,-0.4,-0.03,0.01,-0.94
1966-07,-0.7,-0.84,-1.48,-1.42,-2.31,-0.65,-0.75,-0.87,-0.81,-1.16,-1.75,-1.68,-1.19,-1.37,-2.67
1966-08,-6.89,-8.09,-9.12,-9.91,-12.4,-6.47,-7.36,-7.61,-8.54,-9.21,-9.02,-9.51,-10.3,-10.99,-13.03
1966-09,-0.4,-0.42,-0.82,-1.75,-3.45,-0.54,-0.26,-1.07,0.22,-0.56,-1.06,-1.12,-2.29,-3.18,-3.56
1966-10,3.07,2.23,2.33,-0.54,-6.6,3.08,3.05,3.19,1.27,2.67,1.96,0.89,-1.79,-3.1,-8.02
1966-11,0.01,1.76,2.23,5.05,7.09,0.06,-0.06,0.87,2.74,1.76,2.7,4.64,5.43,7.5,6.89
1966-12,1.52,1.45,2.46,1.81,1.44,1.3,1.77,1.63,1.28,2.69,2.24,1.12,2.37,3.11,0.71
1967-01,9.36,10.65,13.99,16.97,24.85,8.92,9.86,11.06,10.29,12.89,15.02,15.77,17.85,19.44,27.21
1967-02,0.65,1.65,2.83,3.16,7.77,0.73,0.56,1.99,1.33,2.53,3.14,2.56,3.67,5.08,8.96
1967-03,3.74,5.12,5.9,6.94,6.67,3.19,4.28,5.44,4.81,5.74,6.03,5.83,7.9,6.35,6.81
1967-04,2.85,3.57,4.65,4.55,4.73,2.13,3.56,3.09,4.01,4.04,5.21,4.87,4.31,4.55,4.8
1967-05,-1.75,-1.21,-0.64,-1.04,-0.14,-0.76,-2.77,-0.81,-1.59,-0.5,-0.77,-2.21,-0.06,-0.7,0.08
1967-06,1.94,2.65,4.82,8.96,13.43,1.68,2.19,1.7,3.62,4.45,5.15,8.05,9.8,10.39,14.7
1967-07,5.46,5.95,6.92,9.24,10.51,4.35,6.58,6.09,5.82,5.8,7.89,9.06,9.39,9.05,11.09
1967-08,0.95,0.95,1.12,0.22,0.7,0.82,1.09,2.04,-0.12,0.94,1.3,0.72,-0.2,0.11,0.94
