Date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1963-07,0.47,-1.36,-0.6,-0.32,-1.37,0.33,0.95,-1.17,-1.64,-0.07,-1.45,0.93,-2.32,-1.25,-1.48
1963-08,4.66,6.55,5.6,6.54,7.8,4.26,6.21,6.26,6.91,5.77,5.29,6.48,6.63,10.25,5.26
1963-09,-0.76,-1.8,-2.09,-2.45,-2.37,-0.32,-2.24,-2.01,-1.52,-1.67,-2.51,-3.66,-0.38,-2.54,-2.18
1963-10,3.2,2.33,1.81,2.55,2.86,4.11,0.86,1.86,2.85,1.57,2.06,1.92,3.69,4.57,1.36
1963-11,-0.34,-1.18,-0.28,-0.89,-1.32,-0.08,-0.85,-0.74,-1.72,-0.85,0.39,-0.85,-0.93,-0.23,-2.26
1963-12,2.94,1.3,1.48,1.62,-0.2,1.51,4.6,1.37,1.2,1.76,1.21,1.97,1.06,-0.24,-0.17
1964-01,3.37,1.73,1.87,2.82,-1.04,3.7,2.91,0.92,2.34,1.46,2.49,1.64,4.04,-0.57,-1.41
1964-02,1.33,1.91,1.88,5.23,1.93,1.11,1.92,1.31,2.86,2.13,1.5,5.54,4.69,2.6,1.4
1964-03,1.16,2.51,2.34,3.0,1.59,0.84,1.69,2.88,1.71,2.54,2.04,3.25,2.71,0.92,2.26
1964-04,1.33,-0.45,-0.42,-2.39,-1.3,1.4,1.17,-0.99,0.64,-0.11,-0.79,-1.68,-3.63,-2.7,0.12
1964-05,1.72,1.32,0.82,1.22,4.02,1.88,1.12,0.52,2.45,0.9,0.7,0.86,1.68,5.98,1.77
1964-06,1.62,1.89,1.93,1.44,-0.45,1.8,1.17,1.8,2.0,2.32,1.29,1.42,1.47,0.59,-1.66
1964-07,1.98,3.06,1.3,2.17,-0.1,1.61,3.08,2.74,3.39,1.93,0.65,1.41,2.99,-1.26,1.44
1964-08,-1.24,-1.05,-0.59,-0.98,-1.83,-1.28,-1.09,-1.4,-0.46,-0.41,-0.81,-0.25,-2.08,-2.36,-1.19
1964-09,2.57,2.16,3.84,5.62,6.06,2.58,2.53,1.58,2.83,3.14,4.59,5.56,5.73,6.7,5.11
1964-10,0.66,1.6,1.18,1.86,-1.19,0.91,-0.16,1.92,1.2,1.38,0.98,2.46,1.02,-1.64,-0.62
