Date,ST_Rev
1927,-17.69
1928,-10.83
1929,-14.96
1930,-0.86
1931,24.21
1932,30.46
1933,75.65
1934,14.1
1935,8.66
1936,6.01
1937,-6.73
1938,90.44
1939,65.52
1940,19.22
1941,1.68
1942,24.21
1943,21.8
1944,14.35
1945,28.2
1946,-1.39
1947,4.85
1948,21.3
1949,10.94
1950,12.51
1951,19.47
1952,12.21
1953,2.29
1954,18.39
1955,14.94
1956,1.65
1957,-4.58
1958,33.34
1959,2.89
1960,-2.83
1961,13.44
1962,9.9
1963,13.46
1964,7.09
1965,5.15
1966,12.37
1967,9.2
1968,14.27
1969,4.44
1970,7.52
1971,14.38
1972,4.26
1973,1.41
1974,16.02
1975,45.03
1976,15.49
1977,7.7
1978,17.51
1979,9.73
1980,5.63
1981,2.47
1982,0.81
1983,21.22
1984,12.71
1985,7.18
1986,2.83
1987,4.77
1988,18.1
1989,-5.02
1990,-11.44
1991,3.82
1992,-2.58
1993,-0.19
1994,2.37
1995,4.61
1996,2.94
1997,12.08
1998,16.55
1999,-14.23
2000,-16.16
2001,37.77
2002,14.66
2003,12.32
2004,6.57
2005,-1.27
2006,6.24
2007,-16.39
2008,-5.43
2009,-1.22
2010,9.17
2011,-7.63
2012,6.69
2013,-1.43
2014,-2.14
2015,0.98
2016,6.05
2017,3.75
2018,2.1
2019,19.37
2020,-13.09
2021,4.49
2022,-6.22
