Date,US Imports
2010-01-01,533929
2010-04-01,594254
2010-07-01,623733
2010-10-01,623491
2011-01-01,621214
2011-04-01,684873
2011-07-01,703339
2011-10-01,688648
2012-01-01,669651
2012-04-01,707427
2012-07-01,703042
2012-10-01,693239
2013-01-01,652331
2013-04-01,697566
2013-07-01,709488
2013-10-01,700597
2014-01-01,673637
2014-04-01,733444
2014-07-01,739806
2014-10-01,729678
2015-01-01,664293
2015-04-01,707777
2015-07-01,710557
2015-10-01,688927
2016-01-01,637029
2016-04-01,682207
2016-07-01,700539
2016-10-01,700507
2017-01-01,679096
2017-04-01,729062
2017-07-01,739693
2017-10-01,763564
2018-01-01,733502
2018-04-01,781641
2018-07-01,800944
2018-10-01,804970
2019-01-01,740454
2019-04-01,793786
2019-07-01,798665
2019-10-01,772766
2020-01-01,705495
2020-04-01,612528
2020-07-01,721842
2020-10-01,773163
2021-01-01,756580
2021-04-01,836973
2021-07-01,882717
2021-10-01,932331
2022-01-01,939598
2022-04-01,1029505
2022-07-01,1021859
2022-10-01,978680
2023-01-01,923984
2023-04-01,960280
