Date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1963-07,-0.02,-0.71,-0.66,-1.08,-0.69,0.12,-0.15,-0.41,-1.0,-0.57,-0.74,-1.16,-1.0,-0.92,-0.6
1963-08,3.57,5.07,4.78,5.43,3.6,2.98,4.24,3.9,6.19,4.6,4.96,4.96,5.89,5.07,3.04
1963-09,-0.33,-0.91,-1.39,-1.52,-1.22,-0.17,-0.5,-0.41,-1.48,-1.27,-1.49,-1.48,-1.55,-2.52,-0.74
1963-10,0.54,1.0,1.93,2.09,1.0,-0.33,1.41,1.04,0.97,1.94,1.92,2.16,2.03,2.22,0.59
1963-11,-0.47,-0.99,-0.65,-0.42,-3.19,-0.16,-0.78,-0.76,-1.23,-0.88,-0.45,-0.01,-0.77,-1.12,-3.91
1963-12,1.66,1.15,1.17,0.39,-3.0,1.34,1.99,1.2,1.08,1.07,1.26,0.88,-0.09,-0.9,-3.98
1964-01,1.99,2.33,2.6,3.1,4.49,1.62,2.4,1.52,3.12,2.36,2.83,2.94,3.25,2.72,5.28
1964-02,1.98,2.21,2.51,3.2,2.89,1.33,2.61,2.11,2.31,1.97,2.99,3.03,3.38,3.47,2.65
1964-03,2.44,2.17,3.15,3.9,2.43,2.07,2.83,2.27,2.08,3.96,2.47,4.36,3.51,4.02,1.84
1964-04,0.97,0.26,0.04,-0.2,-0.23,1.23,0.7,0.53,0.0,0.23,-0.16,0.72,-1.04,-1.37,0.18
1964-05,1.38,1.4,1.29,0.94,-0.26,1.37,1.39,0.89,1.86,1.05,1.55,0.37,1.52,0.88,-0.72
1964-06,1.49,2.11,2.36,1.75,-0.07,1.44,1.54,2.19,2.03,2.31,2.4,2.3,1.29,1.83,-0.83
1964-07,3.0,3.23,2.48,2.82,3.07,2.75,3.26,3.52,2.95,3.44,1.58,3.78,1.97,3.29,2.98
1964-08,-0.07,-0.09,-0.34,-1.26,-0.7,-0.26,0.14,-0.31,0.12,0.03,-0.68,-0.6,-1.84,-0.56,-0.76
1964-09,2.49,2.71,3.81,3.98,4.72,2.36,2.63,2.49,2.92,2.96,4.53,4.19,3.8,4.73,4.72
1964-10,1.22,1.17,2.08,2.55,2.1,0.77,1.7,1.79,0.58,1.67,2.53,2.43,2.64,1.74,2.22
1964-11,1.36,0.52,0.28,0.52,-1.11,1.49,1.23,0.97,0.07,0.32,0.23,0.64,0.42,-0.49,-1.32
1964-12,-0.56,-0.57,-0.11,-0.59,-2.67,-0.64,-0.47,-0.49,-0.65,-0.36,0.14,-0.44,-0.73,-0.68,-3.36
1965-01,4.65,4.41,5.91,7.5,9.58,4.06,5.29,4.37,4.46,6.0,5.83,6.79,8.2,6.74,10.61
1965-02,1.48,2.92,3.72,3.16,4.3,1.29,1.69,2.7,3.16,3.35,4.08,2.97,3.32,5.28,3.97
1965-03,0.29,0.73,0.71,0.97,2.78,0.2,0.39,0.95,0.51,0.99,0.41,1.31,0.63,2.18,2.98
1965-04,2.16,3.39,4.49,5.81,4.4,2.07,2.25,3.01,3.76,5.43,3.63,6.24,5.41,4.33,4.42
1965-05,-0.5,-0.5,-0.3,-0.85,-0.69,-0.27,-0.74,-0.18,-0.8,0.06,-0.63,-1.59,-0.18,-0.24,-0.84
1965-06,-4.57,-5.93,-7.64,-8.2,-10.75,-4.01,-5.14,-5.59,-6.24,-6.91,-8.32,-8.06,-8.32,-9.38,-11.24
1965-07,1.82,1.83,3.33,3.65,3.12,1.15,2.47,1.87,1.8,3.51,3.15,3.05,4.18,3.58,2.94
1965-08,2.55,3.54,3.96,4.49,5.13,2.18,2.92,3.22,3.83,3.41,4.44,4.13,4.81,6.68,4.44
1965-09,1.41,2.1,3.92,3.04,2.85,1.31,1.51,1.51,2.73,4.17,3.64,3.45,2.71,4.32,2.2
1965-10,2.1,3.4,4.79,6.38,8.49,1.31,2.92,2.72,4.08,5.34,4.22,5.96,6.73,6.62,9.32
1965-11,0.82,1.79,3.49,4.5,8.07,1.17,0.47,1.38,2.2,2.86,4.07,5.03,4.05,4.91,9.44
1965-12,0.69,2.69,3.68,5.03,6.1,0.2,1.16,2.27,3.1,3.45,3.93,5.27,4.81,6.61,5.88
1966-01,2.05,3.2,5.12,5.72,9.71,1.53,2.56,2.6,3.77,4.98,5.25,4.88,6.38,6.54,11.24
1966-02,-0.87,-0.83,1.32,2.57,6.6,-1.54,-0.19,-1.28,-0.41,0.96,1.66,2.07,2.97,3.74,7.81
1966-03,-1.25,-2.72,-2.1,-2.07,0.64,-1.62,-0.88,-2.6,-2.84,-2.78,-1.47,-2.14,-2.01,-2.48,1.97
1966-04,1.35,2.3,3.48,5.04,7.08,0.83,1.91,1.69,2.89,2.98,3.98,4.57,5.47,5.76,7.71
1966-05,-3.7,-4.98,-6.36,-8.44,-12.95,-3.4,-4.03,-4.74,-5.22,-5.08,-7.54,-7.71,-9.09,-10.16,-14.13
1966-06,-1.24,-0.72,0.2,-0.77,-0.34,-1.06,-1.45,-0.6,-0.83,-0.26,0.62,-1.08,-0.47,-0.22,-0.39
1966-07,-0.62,-0.67,-1.31,-1.81,-2.33,-0.84,-0.41,-0.8,-0.53,-1.37,-1.24,-2.35,-1.28,-1.72,-2.62
1966-08,-6.89,-7.83,-9.16,-10.74,-12.33,-6.16,-7.66,-7.92,-7.75,-9.13,-9.19,-9.94,-11.61,-11.22,-12.97
1966-09,-0.49,0.01,-1.19,-1.6,-3.67,0.34,-1.42,-0.18,0.19,-0.89,-1.48,-0.84,-2.35,-2.92,-4.05
1966-10,2.62,2.79,1.68,0.29,-7.33,2.43,2.82,2.06,3.65,1.95,1.43,0.59,-0.01,-4.38,-8.86
1966-11,0.18,1.12,1.91,4.38,8.18,0.67,-0.38,0.12,2.03,0.88,2.9,3.69,5.0,7.5,8.56
1966-12,1.46,1.82,1.79,1.57,1.72,1.27,1.68,1.17,2.38,2.14,1.43,0.39,2.66,3.75,0.68
1967-01,9.76,10.09,14.07,16.86,25.46,8.54,11.18,10.05,10.13,14.08,14.05,16.09,17.49,21.07,27.51
