Date,Small Cap Vol
2010-01-01,
2010-01-04,26.55
2010-01-05,26.66
2010-01-06,25.64
2010-01-07,24.82
2010-01-08,23.55
2010-01-11,22.6
2010-01-12,23.06
2010-01-13,22.24
2010-01-14,21.45
2010-01-15,22.21
2010-01-18,
2010-01-19,22.25
2010-01-20,23.47
2010-01-21,25.95
2010-01-22,30.89
2010-01-25,28.96
2010-01-26,27.97
2010-01-27,26.39
2010-01-28,27.34
2010-01-29,28.03
2010-02-01,26.76
2010-02-02,25.52
2010-02-03,25.38
2010-02-04,29.04
2010-02-05,29.51
2010-02-08,30.44
2010-02-09,29.62
2010-02-10,28.89
2010-02-11,26.59
2010-02-12,25.66
2010-02-15,
2010-02-16,25.37
2010-02-17,23.96
2010-02-18,23.55
2010-02-19,23.6
2010-02-22,23.54
2010-02-23,24.85
2010-02-24,24.29
2010-02-25,23.58
2010-02-26,22.61
2010-03-01,22.09
2010-03-02,22.43
2010-03-03,22.36
2010-03-04,21.65
2010-03-05,20.43
2010-03-08,21.23
2010-03-09,21.8
2010-03-10,22.31
2010-03-11,22.18
2010-03-12,21.65
2010-03-15,22.33
2010-03-16,21.61
2010-03-17,21.48
2010-03-18,21.71
2010-03-19,22.5
2010-03-22,22.0
2010-03-23,21.34
2010-03-24,22.28
2010-03-25,23.81
2010-03-26,23.43
2010-03-29,22.74
2010-03-30,22.17
2010-03-31,22.76
2010-04-01,22.95
2010-04-02,
2010-04-05,21.5
2010-04-06,21.28
2010-04-07,21.58
2010-04-08,21.69
2010-04-09,21.18
2010-04-12,20.89
2010-04-13,20.7
2010-04-14,20.14
2010-04-15,20.55
2010-04-16,21.97
2010-04-19,22.56
2010-04-20,20.5
2010-04-21,20.66
2010-04-22,21.63
2010-04-23,21.06
2010-04-26,22.73
2010-04-27,26.43
2010-04-28,25.94
2010-04-29,23.93
2010-04-30,28.34
2010-05-03,27.12
2010-05-04,31.6
2010-05-05,32.52
2010-05-06,36.37
2010-05-07,45.83
2010-05-10,35.64
2010-05-11,35.2
2010-05-12,32.17
2010-05-13,33.64
2010-05-14,36.74
2010-05-17,37.62
2010-05-18,41.77
2010-05-19,43.7
2010-05-20,53.88
2010-05-21,49.06
2010-05-24,46.46
2010-05-25,43.42
2010-05-26,43.22
2010-05-27,36.7
2010-05-28,38.49
2010-05-31,
2010-06-01,44.55
2010-06-02,39.62
2010-06-03,38.12
2010-06-04,43.67
2010-06-07,47.42
2010-06-08,44.15
2010-06-09,43.31
2010-06-10,39.49
2010-06-11,37.15
2010-06-14,36.7
2010-06-15,34.51
2010-06-16,33.94
2010-06-17,33.59
2010-06-18,32.24
2010-06-21,33.2
2010-06-22,35.11
2010-06-23,34.59
2010-06-24,36.62
2010-06-25,34.8
2010-06-28,36.09
2010-06-29,41.28
2010-06-30,40.47
2010-07-01,39.61
2010-07-02,37.54
2010-07-05,
2010-07-06,39.26
2010-07-07,36.78
2010-07-08,35.03
2010-07-09,33.9
2010-07-12,35.42
2010-07-13,34.44
2010-07-14,35.36
2010-07-15,36.0
2010-07-16,36.91
2010-07-19,36.0
2010-07-20,33.35
2010-07-21,34.59
2010-07-22,33.71
2010-07-23,31.81
2010-07-26,32.1
2010-07-27,32.13
2010-07-28,33.24
2010-07-29,33.14
2010-07-30,32.28
2010-08-02,31.2
2010-08-03,31.66
2010-08-04,30.94
2010-08-05,31.73
2010-08-06,30.67
2010-08-09,30.57
2010-08-10,31.78
2010-08-11,34.42
2010-08-12,35.39
2010-08-13,35.6
2010-08-16,34.77
2010-08-17,32.96
2010-08-18,33.59
2010-08-19,35.44
2010-08-20,34.63
2010-08-23,35.23
2010-08-24,36.56
2010-08-25,35.35
2010-08-26,35.88
2010-08-27,32.88
2010-08-30,35.79
2010-08-31,35.47
2010-09-01,32.9
2010-09-02,31.58
2010-09-03,29.0
2010-09-06,
2010-09-07,31.97
2010-09-08,31.5
2010-09-09,31.46
2010-09-10,30.78
2010-09-13,29.19
2010-09-14,29.01
2010-09-15,29.31
2010-09-16,29.6
2010-09-17,30.59
2010-09-20,29.88
2010-09-21,31.36
2010-09-22,31.75
2010-09-23,32.77
2010-09-24,30.0
2010-09-27,31.69
2010-09-28,31.27
2010-09-29,31.47
2010-09-30,31.74
2010-10-01,30.45
2010-10-04,31.73
2010-10-05,30.78
2010-10-06,30.57
2010-10-07,30.84
2010-10-08,29.25
2010-10-11,28.05
2010-10-12,29.04
2010-10-13,27.7
2010-10-14,27.98
2010-10-15,28.57
2010-10-18,27.38
2010-10-19,29.2
2010-10-20,28.53
2010-10-21,27.89
2010-10-22,26.7
2010-10-25,28.12
2010-10-26,28.59
2010-10-27,28.67
2010-10-28,29.36
2010-10-29,29.21
2010-11-01,30.39
2010-11-02,29.97
2010-11-03,27.42
2010-11-04,25.73
2010-11-05,24.51
2010-11-08,25.04
2010-11-09,25.96
2010-11-10,25.63
2010-11-11,25.85
2010-11-12,28.1
2010-11-15,28.24
2010-11-16,28.86
2010-11-17,28.27
2010-11-18,26.17
2010-11-19,25.21
2010-11-22,25.01
2010-11-23,26.8
2010-11-24,25.82
2010-11-25,
2010-11-26,27.99
2010-11-29,28.27
2010-11-30,30.1
2010-12-01,27.58
2010-12-02,25.67
2010-12-03,23.79
2010-12-06,23.4
2010-12-07,24.14
2010-12-08,23.14
2010-12-09,22.58
2010-12-10,22.51
2010-12-13,21.49
2010-12-14,21.23
2010-12-15,21.72
2010-12-16,21.86
2010-12-17,20.31
2010-12-20,20.82
2010-12-21,19.95
2010-12-22,20.32
2010-12-23,21.48
2010-12-24,
2010-12-27,23.0
2010-12-28,23.8
2010-12-29,23.15
2010-12-30,23.42
2010-12-31,24.33
2011-01-03,24.2
2011-01-04,25.06
2011-01-05,24.23
2011-01-06,24.23
2011-01-07,24.29
2011-01-10,25.15
2011-01-11,23.76
2011-01-12,22.98
2011-01-13,22.74
