Date,USD_Emerging_Mkt_index
2010-01-01,
2010-01-04,98.2837
2010-01-05,98.0552
2010-01-06,97.7616
2010-01-07,97.8286
2010-01-08,97.6711
2010-01-11,97.3603
2010-01-12,97.5291
2010-01-13,97.6616
2010-01-14,97.6073
2010-01-15,97.5814
2010-01-18,
2010-01-19,97.6003
2010-01-20,98.0417
2010-01-21,98.1354
2010-01-22,98.6154
2010-01-25,98.5159
2010-01-26,98.8736
2010-01-27,98.8923
2010-01-28,98.8227
2010-01-29,99.0731
2010-02-01,98.9768
2010-02-02,98.6603
2010-02-03,98.8067
2010-02-04,99.2497
2010-02-05,99.6989
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,99.0317
2010-02-15,
2010-02-16,98.6203
2010-02-17,98.5988
2010-02-18,98.5685
2010-02-19,98.5636
2010-02-22,98.4211
2010-02-23,98.6388
2010-02-24,98.6388
2010-02-25,98.7967
2010-02-26,98.401
2010-03-01,98.2794
2010-03-02,98.1065
2010-03-03,97.9064
2010-03-04,98.0562
2010-03-05,97.7994
2010-03-08,97.7411
2010-03-09,97.7042
2010-03-10,97.4983
2010-03-11,97.5586
2010-03-12,97.3332
2010-03-15,97.4779
2010-03-16,97.355
2010-03-17,97.1966
2010-03-18,97.2882
2010-03-19,97.5002
2010-03-22,97.7042
2010-03-23,97.4772
2010-03-24,97.5525
2010-03-25,97.5347
2010-03-26,97.6182
2010-03-29,97.2987
2010-03-30,97.1493
2010-03-31,96.8482
2010-04-01,96.7405
2010-04-02,96.6935
2010-04-05,96.5576
2010-04-06,96.4971
2010-04-07,96.4393
2010-04-08,96.4881
2010-04-09,96.2353
2010-04-12,96.2181
2010-04-13,96.3552
2010-04-14,96.1163
2010-04-15,96.122
2010-04-16,96.3255
2010-04-19,96.6421
2010-04-20,96.3199
2010-04-21,96.1677
2010-04-22,96.4015
2010-04-23,96.2235
2010-04-26,96.0057
2010-04-27,96.3945
2010-04-28,96.8038
2010-04-29,96.2568
2010-04-30,96.1307
2010-05-03,96.3874
2010-05-04,96.7844
2010-05-05,97.4181
2010-05-06,98.3076
2010-05-07,98.3918
2010-05-10,97.2314
2010-05-11,97.2796
2010-05-12,97.1851
2010-05-13,96.914
2010-05-14,97.5271
2010-05-17,98.1037
2010-05-18,97.7403
2010-05-19,98.8487
2010-05-20,99.641
2010-05-21,99.2769
2010-05-24,99.3433
2010-05-25,100.2312
2010-05-26,99.7116
2010-05-27,99.0738
2010-05-28,98.8593
2010-05-31,
2010-06-01,99.3003
2010-06-02,99.1151
2010-06-03,98.7157
2010-06-04,99.1556
2010-06-07,99.6077
2010-06-08,99.5642
2010-06-09,99.3209
2010-06-10,99.0836
2010-06-11,98.8984
2010-06-14,98.4562
2010-06-15,98.4433
2010-06-16,98.3068
2010-06-17,98.2534
2010-06-18,98.0022
2010-06-21,97.2732
2010-06-22,97.69
2010-06-23,98.0828
2010-06-24,98.2501
2010-06-25,98.2994
2010-06-28,98.1081
2010-06-29,98.7716
2010-06-30,98.6921
2010-07-01,99.1001
2010-07-02,99.0541
2010-07-05,
2010-07-06,98.6934
2010-07-07,98.6907
2010-07-08,98.3107
2010-07-09,98.16
2010-07-12,98.3031
2010-07-13,98.0685
2010-07-14,97.9955
2010-07-15,98.1404
2010-07-16,98.4934
2010-07-19,98.6444
2010-07-20,98.4352
2010-07-21,98.247
2010-07-22,98.1343
2010-07-23,98.098
2010-07-26,97.8965
2010-07-27,97.6131
2010-07-28,97.7313
2010-07-29,97.7778
2010-07-30,97.5311
2010-08-02,97.1704
2010-08-03,97.1491
2010-08-04,97.0889
2010-08-05,97.0488
2010-08-06,97.1803
2010-08-09,97.0815
2010-08-10,97.3829
2010-08-11,97.6594
2010-08-12,97.7359
2010-08-13,97.7908
2010-08-16,97.6706
2010-08-17,97.3139
