Date,USD_aboard_index
2010-01-01,
2010-01-04,87.889
2010-01-05,87.8337
2010-01-06,87.8387
2010-01-07,88.2854
2010-01-08,88.013
2010-01-11,87.2655
2010-01-12,87.311
2010-01-13,87.2511
2010-01-14,87.0388
2010-01-15,87.389
2010-01-18,
2010-01-19,87.7284
2010-01-20,88.6737
2010-01-21,88.5707
2010-01-22,88.6873
2010-01-25,88.7089
2010-01-26,89.1822
2010-01-27,89.0818
2010-01-28,89.1028
2010-01-29,89.8126
2010-02-01,89.8344
2010-02-02,89.5127
2010-02-03,89.7826
2010-02-04,90.357
2010-02-05,90.8684
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,90.2768
2010-02-15,
2010-02-16,89.6716
2010-02-17,90.1225
2010-02-18,90.4396
2010-02-19,90.5945
2010-02-22,90.3143
2010-02-23,90.5729
2010-02-24,90.5694
2010-02-25,91.1799
2010-02-26,90.1835
2010-03-01,90.5404
2010-03-02,90.1132
2010-03-03,89.3554
2010-03-04,90.0075
2010-03-05,89.9548
2010-03-08,89.9712
2010-03-09,89.909
2010-03-10,89.8026
2010-03-11,89.7714
2010-03-12,89.2377
2010-03-15,89.6748
2010-03-16,89.0965
2010-03-17,88.952
2010-03-18,89.4297
2010-03-19,89.7975
2010-03-22,89.7967
2010-03-23,89.7528
2010-03-24,90.8772
2010-03-25,90.7841
2010-03-26,90.8965
2010-03-29,90.4414
2010-03-30,90.5073
2010-03-31,90.0874
2010-04-01,89.747
2010-04-02,90.2325
2010-04-05,89.8996
2010-04-06,90.0871
2010-04-07,90.1512
2010-04-08,90.0646
2010-04-09,89.8268
2010-04-12,89.4059
2010-04-13,89.3373
2010-04-14,88.9111
2010-04-15,89.4133
2010-04-16,89.8391
2010-04-19,90.1872
2010-04-20,89.6737
2010-04-21,89.8306
2010-04-22,90.1509
2010-04-23,90.1816
2010-04-26,90.1011
2010-04-27,90.8439
2010-04-28,91.2197
2010-04-29,90.5993
2010-04-30,90.598
2010-05-03,91.1109
2010-05-04,91.8513
2010-05-05,92.3941
2010-05-06,93.3212
2010-05-07,93.2331
2010-05-10,92.393
2010-05-11,92.578
2010-05-12,92.8882
2010-05-13,93.0426
2010-05-14,94.1407
2010-05-17,94.7748
2010-05-18,94.4185
2010-05-19,95.1162
2010-05-20,95.2496
2010-05-21,94.3319
2010-05-24,94.9361
2010-05-25,95.863
2010-05-26,95.6392
2010-05-27,94.6409
2010-05-28,94.7256
2010-05-31,
2010-06-01,94.9154
2010-06-02,95.0831
2010-06-03,95.1443
2010-06-04,96.0944
2010-06-07,96.3263
2010-06-08,96.0612
2010-06-09,95.4279
2010-06-10,94.8708
2010-06-11,95.1732
2010-06-14,94.1409
2010-06-15,93.9577
