Date,USD_to_Canadian_spot
2010-01-01,
2010-01-04,1.0377
2010-01-05,1.0371
2010-01-06,1.0333
2010-01-07,1.0351
2010-01-08,1.0345
2010-01-11,1.0317
2010-01-12,1.0374
2010-01-13,1.0319
2010-01-14,1.026
2010-01-15,1.0287
2010-01-18,
2010-01-19,1.0325
2010-01-20,1.0477
2010-01-21,1.0483
2010-01-22,1.0561
2010-01-25,1.0582
2010-01-26,1.0669
2010-01-27,1.0657
2010-01-28,1.0584
2010-01-29,1.0652
2010-02-01,1.0651
2010-02-02,1.0607
2010-02-03,1.0608
2010-02-04,1.0735
2010-02-05,1.0727
2010-02-08,1.0692
2010-02-09,1.069
2010-02-10,1.0667
2010-02-11,1.0522
2010-02-12,1.0529
2010-02-15,
2010-02-16,1.0427
2010-02-17,1.0455
2010-02-18,1.045
2010-02-19,1.0419
2010-02-22,1.0428
2010-02-23,1.0517
2010-02-24,1.0551
2010-02-25,1.0675
2010-02-26,1.052
2010-03-01,1.0421
2010-03-02,1.0325
2010-03-03,1.0286
2010-03-04,1.0307
2010-03-05,1.0284
2010-03-08,1.0286
2010-03-09,1.0249
2010-03-10,1.0241
2010-03-11,1.0262
2010-03-12,1.0187
2010-03-15,1.0216
2010-03-16,1.0147
2010-03-17,1.011
2010-03-18,1.0139
2010-03-19,1.0153
2010-03-22,1.0193
2010-03-23,1.0176
2010-03-24,1.0268
2010-03-25,1.0188
2010-03-26,1.0283
2010-03-29,1.0201
2010-03-30,1.0189
2010-03-31,1.0156
2010-04-01,1.0073
2010-04-02,1.011
2010-04-05,1.0025
2010-04-06,1.0001
2010-04-07,1.0028
2010-04-08,1.0019
2010-04-09,1.0055
2010-04-12,1.0015
2010-04-13,1.0029
2010-04-14,0.996
2010-04-15,1.0013
2010-04-16,1.0145
2010-04-19,1.0199
2010-04-20,0.9984
2010-04-21,0.9983
2010-04-22,1.0014
2010-04-23,1.0026
2010-04-26,1.0009
2010-04-27,1.0169
2010-04-28,1.0125
2010-04-29,1.0052
2010-04-30,1.0112
2010-05-03,1.0134
2010-05-04,1.0215
2010-05-05,1.0264
2010-05-06,1.0437
2010-05-07,1.0423
2010-05-10,1.0245
2010-05-11,1.0193
2010-05-12,1.0197
2010-05-13,1.0148
2010-05-14,1.0343
2010-05-17,1.04
2010-05-18,1.0329
2010-05-19,1.051
2010-05-20,1.0656
2010-05-21,1.0564
2010-05-24,1.0587
2010-05-25,1.0776
2010-05-26,1.0647
2010-05-27,1.0491
2010-05-28,1.0497
2010-05-31,
2010-06-01,1.0476
2010-06-02,1.0404
2010-06-03,1.0413
2010-06-04,1.0516
2010-06-07,1.0537
2010-06-08,1.0517
2010-06-09,1.0395
2010-06-10,1.0336
2010-06-11,1.0329
2010-06-14,1.0251
2010-06-15,1.0287
2010-06-16,1.0236
2010-06-17,1.0283
2010-06-18,1.0237
2010-06-21,1.0197
2010-06-22,1.0201
2010-06-23,1.039
2010-06-24,1.0429
2010-06-25,1.0369
2010-06-28,1.0337
2010-06-29,1.0531
2010-06-30,1.0606
2010-07-01,1.0622
2010-07-02,1.0647
2010-07-05,
2010-07-06,1.0497
2010-07-07,1.0525
2010-07-08,1.041
2010-07-09,1.0328
2010-07-12,1.0377
2010-07-13,1.0281
2010-07-14,1.0304
2010-07-15,1.0401
2010-07-16,1.0536
2010-07-19,1.0557
2010-07-20,1.0526
2010-07-21,1.0422
2010-07-22,1.0373
2010-07-23,1.0376
2010-07-26,1.0312
2010-07-27,1.0357
2010-07-28,1.0356
